company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_desc,company_industry,company_location,company_employess_count,job_desc_list,job_qualification_list,jobs_id
TPM Group,Promotor smartfren (Jakarta selatan),Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp4.000.000 – 5.000.000,"Founded in 2004, TPM Group evolved into a modern company, integrated group of companies with four main business: Manpower Supply and Outsourcing Service, Logistic and Shipment Goods Service, Telecommunication Installation Service, and Creative & Digital Infrastructure Service",Outsourcing Services,Jakarta Selatan,>100,"['Merancang strategi promosi yang efektif, termasuk pemilihan saluran komunikasi, pesan kunci, dan taktik promosi\xa0', 'Mengeksekusi kampanye promosi yang telah direncanakan, seperti distribusi brosur, penyelenggaraan event, dan demonstrasi produk\xa0', 'Menjelaskan fitur dan manfaat produk kepada calon pelanggan\xa0', 'Membangun dan memelihara hubungan baik dengan pelanggan, termasuk menanggapi pertanyaan, menangani keluhan, dan memberikan layanan purna jual\xa0', 'Memantau tren pasar dan aktivitas kompetitor untuk menyesuaikan strategi promosi\xa0', 'Membuat laporan hasil promosi dan mengevaluasi keberhasilan kampanye\xa0', 'Memenuhi target harian dan menyerahkan laporan penjualan\xa0']","['Pria dan wanita', 'Usia maks. 30 th', 'Pendidikan SMK/SMA', 'Goodlooking', 'pengalaman sales']",607
PT INISIATIF SEMUA BISA,Sales Executive Sleman Yogyakarta,Penuh waktu,On-site,Sleman Regency,Min. Freshgrad,Rp2.500.000 – 4.000.000,"An outsourcing company that provides quality talent by empowering the underprivileged who have been assisted by Kitabisa. We collaborate with Teach4hope to provide training to underprivileged people. The training is divided into three major classes Social Workers, Administrative Workers, and Digital Workers, allowing underprivileged individuals to compete in the job market. We provide effective and efficient solutions to support your company's operational work scope while also helping your business to provide opportunities for underprivileged people.",Business Process Outsourcing (BPO),Yogyakarta,50–100,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']",608
PT. Reka Sinergi Pratama,Support/Operation Staff,Kontrak,On-site,Jakarta,Min. 1 years of experience,Rp5.000.000 – 8.000.000,,IT Software,Jakarta,1–50,"['Answering telephone and e-mail in accordance with existing SLAs.', 'Always improve knowledge, the ability to help customers with questions about the product.', 'Serve and/or respond and provide solutions to technical questions from customers.', 'Provide information about products and features.', 'Record, deliver, handle problems and make problem solving reports.', 'Ensure features / products are running as they should from each customer.', 'Analyze problems and provide input on product improvement.', 'Record and report on system errors.', 'Ensure features / products are running well before being released to customers.', 'Carry out a deployment process with the Developer team.', 'Based on the testing carried out, inventory and analyze the report on the problem that occured.', 'Providing training to customers & providing friendly, fast and efficient services.']","['Education level: Diploma/Bachelor degree or above in Computer Science, Software Engineering, Electric and Electronics, other related discipline.', 'Languages: Must have good written and oral English language skills.', 'Experience min 1 year in IT or Travel Industry.', 'Passionate in software configuration or testing.', 'High grade of engagement and motivation.', 'Ability to work in a fast-paced environment, recognize and react to changing business needs and effectively prioritize tasks.', 'Ability to meet deadlines, identify issues and resolve with minimal direction.', 'Must be self-motivated, willing to learn and able to work both independently and in conjunction with team members and product groups.', 'Enthusiasm and flexibility to work on a variety of projects are necessary, as well as the ability to rapidly acquire new domain familiarity.', 'Customer-oriented.']",609
Papandayan Cargo,IT Mobile Developer,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,,Reputasi kami sebagai ekspedisi murah Surabaya yang mengutamakan kepuasan pelanggan yang didukung jangkauan dan jaringan serta biaya yang terjangkau adalah keutamaan yang kami berikan kepada para customer kami.,Truck Transportation,Jakarta,50–100,"['Membangun dan mengembangkan aplikasi mobile internal maupun eksternal (customer/driver apps) berbasis Android dan iOS.', 'Menyesuaikan kebutuhan user logistik dalam aplikasi mobile (tracking, booking, delivery, dll).', 'Melakukan maintenance dan update berkala untuk memastikan aplikasi berjalan stabil, aman, dan bebas bug.', 'Menyelesaikan error atau issue yang muncul dari pengguna atau hasil testing internal.', 'Mengintegrasikan aplikasi mobile dengan sistem internal perusahaan seperti ERP, WMS, TMS, atau modul Odoo.', 'Bekerja sama dengan tim backend/API untuk memastikan konektivitas yang optimal.', 'Menerjemahkan desain UI/UX menjadi aplikasi mobile yang fungsional dan responsif.', 'Berkolaborasi dengan tim desain untuk menyempurnakan user journey.', 'Melakukan unit testing, debugging, dan troubleshooting aplikasi mobile sebelum live.', 'Menggunakan tools seperti Firebase, Postman, atau tools crash reporting untuk kontrol kualitas.', 'Menyusun dokumentasi teknis untuk pengembangan dan pemeliharaan aplikasi.', 'Memastikan penggunaan best practice coding dan dokumentasi yang rapi.', 'Berinteraksi dengan user (internal maupun eksternal) untuk mengumpulkan feedback dan kebutuhan fitur baru.', 'Bekerja lintas fungsi dengan developer backend, sistem analis, dan UI/UX designer.', 'Mengikuti tren teknologi mobile terbaru dan menerapkannya jika relevan dengan kebutuhan perusahaan.']","['Minimal ', '', 'Pengalaman ', 'dalam pengembangan aplikasi mobile (Android/iOS).', 'Pernah mengembangkan aplikasi logistik menjadi nilai tambah.', 'Menguasai ', '', 'atau native development (', '', 'Mengerti tentang RESTful API, JSON, Git, Firebase, SQLite, dll.', 'Familiar dengan tools CI/CD dan version control (GitLab, GitHub).', 'Pengalaman integrasi dengan ', '', 'Memiliki portofolio aplikasi yang sudah publish di Play Store/App Store.', 'Pengalaman kerja dalam pengembangan aplikasi untuk kebutuhan logistik/transportasi.', 'Detail-oriented, teliti dalam menulis dan membaca kode.', 'Mampu bekerja secara tim maupun mandiri.', 'Cepat beradaptasi terhadap perubahan kebutuhan pengguna.']",610
PT INISIATIF SEMUA BISA,Sales Executive Serang Banten,Kontrak,On-site,Jakarta Selatan,Min. Freshgrad,Rp4.100.000 – 6.000.000,"An outsourcing company that provides quality talent by empowering the underprivileged who have been assisted by Kitabisa. We collaborate with Teach4hope to provide training to underprivileged people. The training is divided into three major classes Social Workers, Administrative Workers, and Digital Workers, allowing underprivileged individuals to compete in the job market. We provide effective and efficient solutions to support your company's operational work scope while also helping your business to provide opportunities for underprivileged people.",Business Process Outsourcing (BPO),Yogyakarta,50–100,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']",611
TPM Group,Analis Operasional,Penuh waktu,On-site,Yogyakarta,Min. 1 years of experience,Rp2.800.000 – 3.500.000,"Founded in 2004, TPM Group evolved into a modern company, integrated group of companies with four main business: Manpower Supply and Outsourcing Service, Logistic and Shipment Goods Service, Telecommunication Installation Service, and Creative & Digital Infrastructure Service",Outsourcing Services,Jakarta Selatan,>100,"['Mengumpulkan dan menganalisis data penjualan, produksi, dan riwayat penjualan', 'Melakukan wawancara dengan karyawan dan manajer', 'Mengidentifikasi dan memecahkan masalah', 'Mencari tahu apa yang penting bagi masalah dan metode terbaik untuk menganalisisnya', 'Menggunakan metode statistik untuk menganalisis informasi', 'Memberikan rekomendasi untuk perubahan operasional', 'Menulis laporan dan memo untuk manajemen', 'Membantu menciptakan solusi dan menyederhanakan sistem bisnis', 'Bekerja sama dengan tim operasi, teknisi, dan manajemen']","['Pria', 'Usia maks. 35 thn', 'Pendidikan S1 segala jurusan', 'Berpengalaman di dunia FnB menggunakan ESB', 'Memiliki kemampuan analisa data dan lapangan', 'Menguasai dan familiar dengan aplikasi backend & Ms. excel', 'Memiliki kemampuan komunikasi yang baik', 'Domisili Jogja']",612
TPM Group,Team Leader,Kontrak,On-site,Tangerang,Min. Freshgrad,Rp4.000.000 – 4.500.000,"Founded in 2004, TPM Group evolved into a modern company, integrated group of companies with four main business: Manpower Supply and Outsourcing Service, Logistic and Shipment Goods Service, Telecommunication Installation Service, and Creative & Digital Infrastructure Service",Outsourcing Services,Jakarta Selatan,>100,"['Memimpin tim dalam mencapai tujuan yang telah ditetapkan', 'Mengkoordinir seluruh aktivitas tim, termasuk membina kerja sama tim yang solid', 'Membimbing anggota tim dalam menyelesaikan proyek', 'Mengembangkan keterampilan anggota tim', 'Memonitor dan mengevaluasi kinerja tim', 'Mengembangkan dan menerapkan jadwal yang akan digunakan tim untuk mencapai tujuan akhir', 'Memberikan instruksi yang jelas kepada semua anggota tim dalam melaksanakan tugas-tugas yang harus dijalankan', 'Melaporkan kinerja tim kepada atasan', 'Mengusulkan saran kepada atasan', 'Menginformasikan kendala yang ditemukan kepada atasan']","['Pria / Wanita', 'SMK/SMA', 'Memiliki Pengalam TL', 'Penempatan Balaraja, Cikupa & Tigaraksa ( Tangarang Kab )']",613
TPM Group,SMARTFREN 4G SPECIALIST,Penuh waktu,On-site,Bandung,Min. Freshgrad,Rp2.800.000 – 3.000.000,"Founded in 2004, TPM Group evolved into a modern company, integrated group of companies with four main business: Manpower Supply and Outsourcing Service, Logistic and Shipment Goods Service, Telecommunication Installation Service, and Creative & Digital Infrastructure Service",Outsourcing Services,Jakarta Selatan,>100,"['Melakukan Promosi, edukasi, memasarkan & menjual product smartfren direct (End User) secara mobile di lapangan (SDS)/Outlet (SGS)', 'Membuat laporan penjualan', 'Meningkatkan aktivasi pelanggan baru dan menjaga palanggan lama', 'Memenuhi target penjualan', 'Bersedia kerja weekend']","['Pria/Wanita', 'Pendidikan minimal SMA/SMK', 'Mengerti memahami perkembangan teknologi dan gadget', 'Berpenampilan menarik, super, dan komunikatif', 'Siap bekerja di lapangan', 'Mampu bekerja dengan target', 'Memiliki HP Android dan kendaraan pribadi/motor']",614
TPM Group,TEAM LEADER INTERNET SALES PROVIDER,Penuh waktu,Hybrid,Karawang Regency,Min. Freshgrad,Rp4.000.000 – 9.000.000,"Founded in 2004, TPM Group evolved into a modern company, integrated group of companies with four main business: Manpower Supply and Outsourcing Service, Logistic and Shipment Goods Service, Telecommunication Installation Service, and Creative & Digital Infrastructure Service",Outsourcing Services,Jakarta Selatan,>100,"['Memimpin tim sales untuk mencapai dan melebihi target penjualan mingguan, bulanan, dan tahunan.', 'Menganalisis dan mengembangkan strategi pemasaran serta ekspansi wilayah penjualan.', 'Membimbing, melatih, dan memberikan motivasi kepada anggota tim sales untuk meningkatkan kinerja.', 'Mengawasi proses penjualan, termasuk presentasi produk, negosiasi, dan penutupan transaksi.', 'Menjalin dan menjaga hubungan baik dengan pelanggan serta mengidentifikasi peluang bisnis baru.', 'Mengkoordinasikan dan memastikan pemenuhan pesanan pelanggan secara efisien.', 'Mewakili perusahaan dalam pameran dagang dan acara industri untuk meningkatkan visibilitas merek.', 'Menyusun laporan penjualan dan memberikan analisis berkala kepada manajemen terkait pencapaian tim.', 'Berkontribusi dalam pengembangan strategi harga dan inisiatif pemasaran bersama manajemen.']","['Laki-Laki & Perempuan Usia Max. 40Th', 'Pendidikan Min. SMA/K', 'Terbiasa dengan Target', 'Memiliki kemampuan komunikasi yang baik', 'CV,KTP,SERTIFIKAT VAKSIN COVID 19, Memiliki kendaraan bermotor untuk bekerja']",615
PT Vidya Artha Tama,GA COORDINATOR,Penuh waktu,On-site,Jakarta Pusat,Min. 1 years of experience,Rp6.000.000 – 7.000.000,Committed to providing the best Human Resources that can be tailored to your company's business needs.,Facilities Services,Jakarta,-,"['Melakukan koordinasi lingkungan di sekitar area gedung', 'Mengatur vendor security, vendor cleaning service', 'Mengurus perizinan', 'Memastikan K3 dijalani oleh setiap Tenaga Kerja', 'Berkoordinasi dengan karyawan di bawahnya serta berkoordinasi dengan pimpinan']","['Laki - laki, usia maks. 40 tahun', 'Pendidikan Min. D3.', 'Pengalaman min. 2 tahun sebagai GA Coordinator dalam industri property ( Apartemen/ Office Tower )', 'Aktif, memiliki integritas dan bertanggung jawab', 'Memiliki kemampuan : Komputer ( Ms. office ), Bernegosiasi, Kepemimpinan, Teliti, komunikasi yang baik under to top Management', 'Excellent Communication skill and interpersonal skill.', 'Memahami Aturan dan perundang - undangan terkait']",616
TPM Group,Account Executive,Kontrak,Hybrid,Bali,Min. 1 years of experience,Rp3.500.000 – 5.000.000,"Founded in 2004, TPM Group evolved into a modern company, integrated group of companies with four main business: Manpower Supply and Outsourcing Service, Logistic and Shipment Goods Service, Telecommunication Installation Service, and Creative & Digital Infrastructure Service",Outsourcing Services,Jakarta Selatan,>100,"['Memasarkan produk WIFI dari CBN fiber', 'Mengedukasi pengguna WIFI tentang layanan internet CBN', 'Memberikan pelayanan terbaik bagi pengguna layanan WIFI CBN']","['Pendidikan min SMK/SMA sederajat', 'Pengalaman sales internet provider', 'Memiliki kendaraan roda dua', 'Bersedia kerja dengan sistem target']",617
Redwoods Digital,Sales Intern,Magang,On-site,Tangerang Selatan,Min. 4th Year College Student,," is a full-service agency that helps businesses grow Strategy, creativity, and technology under one tree.","Digital, Tech, Content, Media, Creative",Tangerang Selatan,1–50,"['Assist the Operations team in identifying and reaching out to potential clients.', 'Support daily sales operations, including data entry, order processing, and follow-ups.', 'Maintain and update customer databases.', 'Paid Internship', 'Cultural Benefits', 'Class Or Workshops', 'Certificate Of Completion']","['Final year student or recent graduate.', 'Having a strong confident and outgoing personality.', 'Eager to learn and work with various departments in the company.', 'Monday To Friday 10.00 - 18.00', 'x WFO, 1x WFH\xa0', 'Months Internship', 'Alam Sutera, Serpong, Tangerang Selatan']",618
Universitas Ciputra,Laboran Fakultas Teknologi Pangan,Penuh waktu,On-site,Surabaya,Min. 1 years of experience,,"Universitas Ciputra memiliki komitmen bahwa disetiap alur studi/konsentrasi yang ada memiliki tujuan sama yaitu membekali setiap mahasiswa agar mampu menjadi Entrepreneur sesuai keahlian masing-masing. Pendidikan dan Praktek Entrepreneurship diberikan secara merata disemua alur studi/konsentrasi mulai dari awal perkuliahan dimulai sampai akhir perkuliahan. Entrepreneurship memiliki arti yang lebih luas dari sekedar berjualan, membuka dan menjalankan bisnis karena didalamnya terdapat unsur kreatifitas & inovasi, kemampuan membaca kebutuhan pasar (market sensitivity) dan pengambilan resiko yang terhitung (calculated risk taking). Pada era masa kini, tantangan zaman semakin berat, kompetisi global terjadi, oleh karena itu Entrepreneur yang dihasilkan oleh institusi pendidikan tinggi haruslah Entrepreneur intelektual dengan keahlian sesuai bidang yang dipelajarinya. Tuntutan zaman ini yang mendorong kami untuk semakin meningkatkan dan mengembangkan kualitas dalam segala hal diantaranya adalah penambahan dan pengembangan beberapa program yang ditawarkan ke calon mahasiswa.",Perguruan Tinggi,Surabaya,>100,"['Bertanggungjawab terhadap kelancaran praktikum dan proyek serta pengaturan aktivitas di laboratorium pengolahan pangan', 'Inventarisasi, pengecekan, perawatan dan perbaikan mesin dan peralatan di laboratorium pengolahan', 'Mengerjakan kegiatan administrasi yang berkaitan dengan pengelolaan laboratorium pengolahan Informasi Tambahan']","['Usia maksimal 45 tahun\xa0\xa0', 'Pendidikan minimal S1 di bidang Mikrobiologi, Kimia, diutamakan Teknologi Pangan\xa0\xa0', 'Memiliki pengalaman kerja di laboratorium (minimal 1-2 tahun, atau sesuai kebutuhan)\xa0\xa0', 'Memahami dan mampu melakukan teknik dasar laboratorium, seperti:\xa0\xa0', 'Mampu mengoperasikan dan merawat peralatan laboratorium', 'Teliti, bertanggung jawab, dan memiliki keterampilan administrasi dasar untuk pencatatan hasil uji', 'Mampu bekerja secara mandiri maupun dalam tim', 'Memahami protokol keselamatan laboratorium\xa0\xa0', 'Bersedia terlibat dalam kegiatan pengajaran dan penelitian.']",619
Kharisma Potensia Indonesia,"Sales & Business Development Aplikasi, Jakarta",Kontrak,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.000.000 – 5.067.381,"PT KHARISMA POTENSIA INDONESIA Committed to being part of the formation of Quality Indonesian Human Resources, with focus on the formation of work systems, the self concept and training to build superior to be able make a significant contribution wherever they are.",Human Resources and Consulting,Jakarta,>100,"['Menciptakan hubungan baru dengan pelanggan potensial dan memperluas saluran bisnis;', 'Membangun dan mempertahankan hubungan pelanggan yang kuat dan tahan lama untuk meningkatkan penjualan dan loyalitas mereka;', 'Secara aktif mencari prospek customer baru dan mengidentifikasi peluang untuk mencapai target penjualan dan mengembangkan omset perusahaan;', 'Memiliki kemampuan presentasi yang baik.']","['Pendidikan minimal SMA/Sederajat;', 'Memiliki pengalaman kerja sebagai Sales/Business Development produk IT (Software/Aplikasi/Konsultan IT);', 'Memiliki kemampuan komunikasi dan interpersonal yang baik, punya passion dalam bidang sales;', 'Memiliki kemampuan belajar cepat secara mandiri;', 'Terbiasa bekerja di lapangan dan memiliki kendaraan motor;', 'Bersedia JOIN secepatnya jika dinyatakan LOLOS seleksi.']",620
PT Dutagaruda Piranti Prima,SALES CONSULTANT (Car Dealer),Kontrak,On-site,Jakarta,Min. 1 years of experience,Rp3.500.000 – 5.000.000,"PT Dutagaruda Piranti Prima (DPP) is a service company that specializes in Labor Providers Management with various abilities and skills as well as experience in field of Education & Training Centers, Recruitment Services, Computer Rentals and Virtual Offices that have been professionally established since 1995. DPP is supported by a trained, dedicated, friendly, integrated, responsive and professional, coupled with instructors and facilitators as well as a work system that has been prepared based on the conditions that exist in the service user environment. DPP is very ready to meet the needs for the needs of various business fields in our way and services for Government Institutions, Private, BUMN/BUMD, and Private Companies, anytime, anywhere and within any conditions, we are ready to provide the best service to service users.",Human Resources Services,Jakarta,>100,"['Bertanggung jawab terhadap penjualan unit mobil di dealer', 'membangun relasi dengan customer', 'Memiliki motivasi yg tinggi untuk meraih target penjualan yang telah di tetapkan', 'Pekerja keras dan berorientasi pada target', 'Menciptakan creativitas dan inovatif', 'Memahami dunia digital marketing dan sosial media : IG, FB, Tiktok, dll']","['Pendidikan min SMA/SMK sederajat', 'Memiliki pengalaman sebagai sales / marketing produk minimal 1 tahun', 'Mampu bekerja dengan target dan tekanan', 'Komunikatif, energik, memiliki relasi yang luas', 'Memiliki selling skill, tough, dan disiplin', 'Penempatan Dealer Wuling - Jakarta Selatan']",621
ANTARESTAR,FAT Staff,Kontrak,On-site,Bekasi,Min. 1 years of experience,, is a leading local brand committed to supporting all outdoor activities and fulfilling the needs of adventurers and ‘backpackers.’ Our mission is to empower exploration and deepen the love for our homeland by providing high-quality products that make travel easier and more enjoyable.,Apparel & Fashion,Bekasi,50–100,"['Membuat Laporan Piutang mingguan dan bulanan', 'memeriksa data-data tagihan masuk', 'Membuat faktur pajak', 'Membuat laporan analisis keuangan bulanan dan tahunan', 'Memantau kepatuhan terhadap pengoptimalan pajak dan standar pelaporan keuangan.', 'Membuat peramalan dan pengelolaan arus kas untuk memastikan likuiditas yang memadai.']","['Pendidkan min S1 jurusan Akutansi', 'Memiliki pengalaman Finance, accounting dan pajak', 'Menguasai jurnal akutansi dan laporan akutansi', 'Terbiasa membuat laporan keuangan', 'Menguasai software (Jurnal, Oracle, SAP, Microsoft Dynamic, Microsoft Excel)', 'Memiliki akurasi tinggi dan kemampuan berhitung yang baik', 'Bertanggung jawab, jujur, dan teliti']",622
VENTENY INDONESIA,Compliance SPV,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,,VENTENY offers a unique value proposition for MSMEs to grow their business by providing a combination of Growth Funding and Employee Super App.,Financial Services,Jakarta Selatan,50–100,"[""Ensure the company's operations comply with relevant Indonesian regulations and other applicable laws"", 'Stay updated on changes in laws, regulations, and standards affecting financial technology (fintech), lending industries, tech industries and capital market', ""Draft and implement compliance policies and procedures tailored to the company's business models"", 'Prepare and submit accurate and timely regulatory reposts to OJK and other authorities, including the Monthly and Annual compliance reports', 'Act as the liaison between the company and regulatory bodies for audits, inspections, and inquiries.', 'Identify compliance risks related to product development, customer onboarding, and lending practices across B2B, B2B2E , and B2C segments', 'Collaborate with the risk management team to develop a compliance risk assessment framework and implement mitigation measures', 'Conduct compliance training and awareness programs for employees, focusing on AML/CFT, data protection, and ethical lending practices', 'Conduct internal compliance monitoring activities and support audits related to fintech lending operations', 'Ensure adherence to data privacy and cybersecurity regulations under UU PDP, especially in relation to customer data handled via the super-app platform', 'Implement anti-money laundering and counter-terrorism financing (AML/CFT) measures', 'Execute anti-fraud functions and manage anti-gratification practices', 'Oversight of the whistleblowing system', ""Centralized management of the company's standard operating procedures\xa0""]","[""Bachelor's degree in business, law, finance, accounting, or related field. Master's degree or relevant certifications (e.g., Certified Compliance & Ethics Professional (CCEP)) are an advantage"", 'Minimum 3 years of experience in compliance, risk management, auditing, or related field', 'Prior work experience in regulatory bodies or financial sector industry is highly preferred', 'In-depth understanding of relevant laws, regulations, and industry standards pertaining to the Indonesian financial sector (Financial Services Authority (OJK) and IDX)', 'Strong analytical abilities to interpret complex regulations, assess compliance risks, and develop effective strategies for mitigation', 'Excellent verbal and written communication skills to effectively convey compliance requirements, provide guidance, and interact with stakeholders at all levels', 'Meticulous attention to detail to ensure accurate interpretation and implementation of compliance policies and procedures', 'Demonstrated commitment to ethical behaviour and adherence to high standards of integrity in all compliance activities', 'Proven ability to identify compliance issues, analyze root causes, and develop practical solutions to address them effectively', 'Commitment to staying updated on evolving compliance regulations, industry best practices, and professional development opportunities', 'Strong leadership capabilities and ability to collaborate across departments and work with senior management.']",623
Sprint Asia,Excellent Operation Manager [Medlinx],Penuh waktu,On-site,Jakarta Selatan,Min. 5+ years of experience,,We provide innovative solutions through digital infrastructure & technology services to enhance your business.,IT Services And IT Consulting,Jakarta,50–100,"['Monitoring all performance indicators in claim cycle', 'Responsible in all claim adjudication', 'Analyze existing claim processes and identify areas for improvement.', 'Collaborate with other departments to ensure timely and efficient claim processing.', 'Provide excellent customer service, demonstrating empathy and professionalism.']","['Graduated from faculty of Medicine is a must', 'years of experience in claim handling or customer service in TPA/ASO, Health insurance and relevant industry.', 'years of experience as a manager or supervisor in the claim department.', 'Strong leadership and team management skill to lead and motivate a claim team', 'Strong understanding of claim processes and policy coverage.', 'Excellent communication and interpersonal', 'Proficient in using claim management systems and other relevant software.']",624
PT ITSEC Asia Tbk,Fraud Detection System Engineer,Penuh waktu,Hybrid,Jakarta,Min. 4 years of experience,,"ITSEC is one of the leading cybersecurity companies in the APAC region, listed on the Indonesian Stock Exchange (IDX), with over 300 employees across five countries. We deliver end-to-end cybersecurity services and solutions, including Consulting Services, Security Solutions Integration, and Managed Security Services. ITSEC provides continuous IT infrastructure protection against multiplying cybersecurity threats and ensures compliance with increasingly demanding data protection and critical infrastructure regulations. Our expertise has been built over a decade of delivering thousands of high-quality cybersecurity projects, providing cutting-edge solutions in collaboration with world-class technology partners across financial, telecommunications, energy, transportation, manufacturing, and other critical industry sectors. We also have extensive experience in helping our customers with fraud prevention, Operational Technology (OT), and Industrial IoT (IIoT) security.",Information Technology & Services,Jakarta,-,"['Respond and troubleshoot immediately to incidents related to the Fraud Detection System application', 'Coordinate well with principals and clients and provide recommendations for future system improvements and repairs', 'Create incident reports and work processes (Method of Procedure)']","['Have experience as an MSFDS L2 Engineer for at least 5 years.', 'Have knowledge and experience of the FDS or other anti-fraud management frameworks.', 'Have experience in the banking industry for at least 2 years.', 'Have expert skills in software and hardware deployment to support implementation, development, and monitoring on the FDS platform, such as Virtualization, Storage, Networking, bash script (Python, Shell), Java application stack, and tunin', 'Have expertise in Fraud Detection System platform, Operating System (Linux, Windows), Database (Oracle, PostgreSQL, DB2 plus value), Elastic, Troubleshooting software and hardware platform, custom dashboard and custom report.', 'Have experience and knowledge of SAS software, SAS-BOS and other components (knowledge of SAS Fraud is a plus)', 'Understand the concept of threading, memory management, and JVM tuning as well as high-availability system', 'Have good leadership, ability to build effective team and good communication.']",625
PT Pruwinner,Senior Account Executive,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp6.000.000 – 10.000.000,PT Pruwinner adalah salah satu agency office dari PT Prudential Life Assurance Indonesia yang bergerak di industri Asuransi.,Insurance,Jakarta Selatan,1–50,"['Memberikan solusi keuangan terbaik bagi klien sesuai kebutuhan mereka', 'Mengembangkan portofolio klien dengan strategi pemasaran yang efektif', 'Memberikan edukasi dan konsultasi terkait perlindungan asuransi dan perencanaan keuangan', 'Berkontribusi dalam pengembangan tim dan pertumbuhan bisnis']","['Usia 25 - 35thn', 'Memiliki penghasilan minimal 5jt/ bulan ditempat kerja sebelumnya', 'Pengalaman di bidang sales, marketing, atau customer relationship minimal 2 tahun.', 'Berorientasi pada target dan memiliki keterampilan komunikasi yang baik.', 'Memiliki jiwa kepemimpinan dan mampu bekerja secara mandiri maupun dalam tim.', 'Mempunyai passion dalam membantu orang lain mencapai keamanan finansial.', 'Pendidikan minimal D3/S1 dari berbagai jurusan.', 'Bersedia mengikuti pelatihan dan sertifikasi keagenan Prudential.']",626
PT Komoditas Sinergi Nusantara,Branch Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp3.500.000 – 5.000.000,PT. Komoditas Sinergi Nusantara adalah perusahaan yang bergerak di mitra sektor perdagangan dan pengelolaan komoditas di Indonesia. Nama perusahaan mencerminkan tujuannya untuk menciptakan kolaborasi dalam rantai pasokan komoditas. PT. Komoditas Sinergi Nusantara berperan penting dalam perekonomian dengan memastikan ketersediaan komoditas untuk berbagai industri dan mungkin terlibat dalam perdagangan domestik serta internasional. Perusahaan ini juga berupaya menerapkan prinsip keberlanjutan dalam operasinya. VISI : Menjadi institusi keuangan terkemuka dengan kinerja prima yang berkelanjutan dan berkontribusi dalam pembangunan internasional MISI : 1. Memberikan solusi keuangan berkelanjutan yang komperhensif dan inovatif 2. Mengembangkan sumber daya manusia yang handal dan berdedikasi 3. Meningkatkan jangkauan serta kualitas pelayanan melalui digitalisasi dan inklusi keuangan 4. Menjalankan tata kelola perusahaan yang baik serta peduli terhadap masyarakat dan lingkungan,Marketing and Branding,Jakarta Selatan,1–50,"['Able and accustomed to handling a team', 'Understand market strategy and market analyst', 'Able to be under pressure', 'Able to adapt quickly in a team and environment']","['Minimum 1+ years working experience in PIC, SPV, or Manager', ""Minimum bachelor's degree in any major"", 'Has excellent communication & negotiation', 'Target oriented', 'Highly motivated, honest, disciplined, and hard worker']",627
Mitramas Infosys Global,Senior DevOps Engineer,Kontrak,Hybrid,Jakarta,Min. 4 years of experience,,"Founded in 2003, Mitramas Infosys Global (MIG) is a technology solutions and IT services provider based in Jakarta. Specializes in the financial services industry, MIG operates up to 20 service points across major islands in Indonesia, offering a wide variety of essential hardware and software solutions from Core Banking Systems, PC, ATM to business process applications and analytics serving both Government body, State-Owned Enterprise, as well as Private Owned companies.",Information Technology / IT,Jakarta Selatan,50–100,"['Here in Mitramas Infosys Global, you will be exposed to work on software across a diverse platform of technologies as well as a variety of industries within our portfolios. We are looking for talents with high tenacity in solving problems, exceptional passion for technologies, and a great willingness to learn and adapt to ever-changing environments to join our team.']","['Bachelor’s degree in Computer Engineering, Information Systems, Computer Science or related fields.', 'years of experience in DevOps, Cloud Engineering, or Infrastructure Automation.', 'Extensive experience in managing cloud infrastructure and automating deployment processes.', 'Strong expertise in CI/CD pipelines, infrastructure as code, and system reliability best practices.', 'Willing to work in a hybrid work arrangement in Jakarta.']",628
