company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_industry,company_location,company_employess_count,jobs_id,kategori
PT. Reka Sinergi Pratama,Support/Operation Staff,Kontrak,On-site,Jakarta,Min. 1 years of experience,Rp5.000.000 – 8.000.000,IT Software,Jakarta,1–50,695,"['Operations Management', 'Administrative & Secretarial']"
Papandayan Cargo,IT Mobile Developer,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Truck Transportation,Jakarta,50–100,696,['Software Engineering']
PT INISIATIF SEMUA BISA,Sales Executive Serang Banten,Kontrak,On-site,Jakarta Selatan,Min. Freshgrad,Rp4.100.000 – 6.000.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,697,['Sales']
TPM Group,Analis Operasional,Penuh waktu,On-site,Yogyakarta,Min. 1 years of experience,Rp2.800.000 – 3.500.000,Outsourcing Services,Jakarta Selatan,>100,698,"['Operations Management', 'Business Analysis', 'Data Science & Analytics']"
TPM Group,Team Leader,Kontrak,On-site,Tangerang,Min. Freshgrad,Rp4.000.000 – 4.500.000,Outsourcing Services,Jakarta Selatan,>100,699,['Management & Leadership']
TPM Group,SMARTFREN 4G SPECIALIST,Penuh waktu,On-site,Bandung,Min. Freshgrad,Rp2.800.000 – 3.000.000,Outsourcing Services,Jakarta Selatan,>100,701,"['Sales', 'Retail', 'IT Operations & Support']"
TPM Group,TEAM LEADER INTERNET SALES PROVIDER,Penuh waktu,Hybrid,Karawang Regency,Min. Freshgrad,Rp4.000.000 – 9.000.000,Outsourcing Services,Jakarta Selatan,>100,702,"['Sales', 'Management & Leadership']"
PT Vidya Artha Tama,GA COORDINATOR,Penuh waktu,On-site,Jakarta Pusat,Min. 1 years of experience,Rp6.000.000 – 7.000.000,Facilities Services,Jakarta,-,703,"['Administrative & Secretarial', 'Management & Leadership']"
TPM Group,Account Executive,Kontrak,Hybrid,Bali,Min. 1 years of experience,Rp3.500.000 – 5.000.000,Outsourcing Services,Jakarta Selatan,>100,705,"['Sales', 'Account Management']"
Redwoods Digital,Sales Intern,Magang,On-site,Tangerang Selatan,Min. 4th Year College Student,Negotiable,"Digital, Tech, Content, Media, Creative",Tangerang Selatan,1–50,706,"['Internship & Trainee Programs', 'Sales']"
Universitas Ciputra,Laboran Fakultas Teknologi Pangan,Penuh waktu,On-site,Surabaya,Min. 1 years of experience,Negotiable,Perguruan Tinggi,Surabaya,>100,707,"['Research & Development', 'Skilled Trades & Technician', 'Hospitality & F&B', 'Education & Training']"
Kharisma Potensia Indonesia,"Sales & Business Development Aplikasi, Jakarta",Kontrak,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.000.000 – 5.067.381,Human Resources and Consulting,Jakarta,>100,708,"['Sales', 'Business Development', 'Software Engineering']"
PT Dutagaruda Piranti Prima,SALES CONSULTANT (Car Dealer),Kontrak,On-site,Jakarta,Min. 1 years of experience,Rp3.500.000 – 5.000.000,Human Resources Services,Jakarta,>100,709,"['Sales', 'Consulting', 'Retail']"
ANTARESTAR,FAT Staff,Kontrak,On-site,Bekasi,Min. 1 years of experience,Negotiable,Apparel & Fashion,Bekasi,50–100,710,"['Finance', 'Accounting', 'Tax']"
VENTENY INDONESIA,Compliance SPV,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Negotiable,Financial Services,Jakarta Selatan,50–100,712,"['Legal & Compliance', 'Management & Leadership']"
Sprint Asia,Excellent Operation Manager [Medlinx],Penuh waktu,On-site,Jakarta Selatan,Min. 5+ years of experience,Negotiable,IT Services And IT Consulting,Jakarta,50–100,713,"['Operations Management', 'Management & Leadership']"
PT ITSEC Asia Tbk,Fraud Detection System Engineer,Penuh waktu,Hybrid,Jakarta,Min. 4 years of experience,Negotiable,Information Technology & Services,Jakarta,-,714,"['Risk Management', 'Software Engineering', 'Data Science & Analytics']"
PT Pruwinner,Senior Account Executive,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp6.000.000 – 10.000.000,Insurance,Jakarta Selatan,1–50,715,"['Sales', 'Account Management', 'Management & Leadership']"
PT Komoditas Sinergi Nusantara,Branch Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp3.500.000 – 5.000.000,Marketing and Branding,Jakarta Selatan,1–50,716,"['Management & Leadership', 'Operations Management', 'Sales']"
Mitramas Infosys Global,Senior DevOps Engineer,Kontrak,Hybrid,Jakarta,Min. 4 years of experience,Negotiable,Information Technology / IT,Jakarta Selatan,50–100,717,"['DevOps', 'Management & Leadership']"
United Creative,Host Live - Sports (Bali United Store),Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Media Production,Jakarta,>100,719,"['Marketing', 'Creative & Design', 'Retail']"
Berlima Digital,Account Manager,Penuh waktu,On-site,Yogyakarta,Min. 2nd Year College Student,Rp3.000.000 – 5.000.000,Digital marketing services,Yogyakarta,1–50,720,"['Account Management', 'Sales']"
PT Indonesia Fintopia Technology (Easycash),Mandarin Translator,Penuh waktu,On-site,Jakarta Selatan,Min. Freshgrad,Negotiable,"Tech Company, Fintech",Jakarta,50–100,721,"['Other', 'Creative & Design']"
Penerbit Deepublish,Telemarketing,Penuh waktu,On-site,Yogyakarta,Min. 1 years of experience,Rp2.400.000 – 2.700.000,Penerbitan Buku Dan Terbitan Berkala,Yogyakarta,-,722,['Sales']
Universitas Ciputra,Programmer (Penempatan Makassar),Penuh waktu,On-site,Makassar,Min. 4 years of experience,Negotiable,Perguruan Tinggi,Surabaya,>100,723,['Software Engineering']
Universitas Ciputra,Tax and Accounting Officer (Penempatan Makassar),Penuh waktu,On-site,Makassar,Min. 1 years of experience,Negotiable,Perguruan Tinggi,Surabaya,>100,724,"['Tax', 'Accounting']"
Turnkey Inside,Treasury Dealer,Penuh waktu,On-site,Batu,Min. Freshgrad,Rp7.000.000 – 10.000.000,Financial Technology,Tangerang,1–50,725,['Finance']
Clerina Group,Digital Advertiser,Penuh waktu,On-site,Bandung,Min. 1 years of experience,Negotiable,Beauty and Cosmetics,Bandung,1–50,726,['Marketing']
Worlder TEAM,Cybersecurity Engineer,Penuh waktu,Remote,-,Min. 4 years of experience,Rp6.000.000 – 40.000.000,IT Service,Singapore,1–50,727,['Cybersecurity']
Kharisma Potensia Indonesia,Teknisi AC Tangerang,Kontrak,On-site,Tangerang,Min. 2nd Year College Student,Rp4.800.000 – 4.900.000,Human Resources and Consulting,Jakarta,>100,728,['Skilled Trades & Technician']
Kharisma Potensia Indonesia,"Security Perkantoran, Jakarta Utara",Kontrak,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.000.000 – 5.067.381,Human Resources and Consulting,Jakarta,>100,729,"['Skilled Trades & Technician', 'Security']"
Kharisma Potensia Indonesia,Sales Executive,Penuh waktu,On-site,Cilacap Regency,Min. 1 years of experience,Negotiable,Human Resources and Consulting,Jakarta,>100,730,['Sales']
Kharisma Potensia Indonesia,Sales Executive,Penuh waktu,On-site,Cilacap Regency,Min. 1 years of experience,Negotiable,Human Resources and Consulting,Jakarta,>100,730,['Sales']
PT Tri Sapta Jaya,Sales Coordinator,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Pharmaceutical Distribution and Logistics,Jakarta Timur,>100,731,"['Sales', 'Management & Leadership']"
PT. Tiga Maju Terus,Sales Officer,Penuh waktu,Remote,-,Min. 5+ years of experience,Rp3.900.000 – 20.000.000,E-commerce and Retail,Jakarta Utara,1–50,732,['Sales']
Kharisma Potensia Indonesia,"Sales & Development Officer Logistik, Sunter Jakarta Utara",Kontrak,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.000.000 – 5.500.000,Human Resources and Consulting,Jakarta,>100,734,"['Sales', 'Business Development', 'Supply Chain & Logistics']"
PT Abadinusa Usahasemesta,Sales Engineer,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Negotiable,Hospitals And Health Care,Jakarta Selatan,-,736,"['Sales', 'Engineering (non-software)', 'IT Operations & Support']"
Papandayan Cargo,"FAT Supervisor (Finance, Accounting, and Tax)",Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Truck Transportation,Jakarta,50–100,738,"['Finance', 'Accounting', 'Tax', 'Management & Leadership']"
T Engineering,Graphic Designer,Penuh waktu,Remote,-,Min. 1 years of experience,Negotiable,"Mining, Oil, And Gas Industry","Sudbury, Ontario",1–50,739,['Creative & Design']
Tim Jess No Limit & Sisca Kohl,Production Assistant,Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,740,"['Production & Manufacturing', 'Administrative & Secretarial']"
PT INISIATIF SEMUA BISA,Sales Consultant (Fatmawati Jakarta Selatan),Kontrak,On-site,Jakarta Selatan,Min. 1 years of experience,Rp3.500.000 – 5.500.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,741,"['Sales', 'Consulting']"
PT INISIATIF SEMUA BISA,Sales Consultant (Fatmawati Jakarta Selatan),Kontrak,On-site,Jakarta Selatan,Min. 1 years of experience,Rp3.500.000 – 5.500.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,741,"['Sales', 'Consulting']"
Tim Jess No Limit & Sisca Kohl,Sales Specialist,Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,742,['Sales']
Tim Jess No Limit & Sisca Kohl,Content Creator,Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,743,"['Creative & Design', 'Marketing']"
Tim Jess No Limit & Sisca Kohl,Customer Experience Manager,Kontrak,On-site,Jakarta Barat,Min. 4 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,745,"['Customer Service & Support', 'Management & Leadership', 'Marketing']"
Tim Jess No Limit & Sisca Kohl,Content Producer (Script & Voice Over),Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,746,"['Creative & Design', 'Marketing']"
PT INISIATIF SEMUA BISA,"Sales Executive Flores NTT (Kab. Ngada, Kab. Manggarai)",Kontrak,On-site,Manggarai Regency,Min. Freshgrad,Rp2.000.000 – 3.500.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,747,['Sales']
PT INISIATIF SEMUA BISA,Sales Executive Purbalingga Jawa Tengah,Kontrak,On-site,Purbalingga Regency,Min. Freshgrad,Rp2.200.000 – 4.000.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,749,['Sales']
TPM Group,Sales Specialist,Penuh waktu,Hybrid,Jakarta,Min. Freshgrad,Rp4.000.000 – 9.000.000,Outsourcing Services,Jakarta Selatan,>100,750,['Sales']
TPM Group,Sales Specialist,Penuh waktu,Hybrid,Jakarta,Min. Freshgrad,Rp4.000.000 – 9.000.000,Outsourcing Services,Jakarta Selatan,>100,750,['Sales']
TPM Group,Sales Specialist,Penuh waktu,Hybrid,Jakarta,Min. Freshgrad,Rp4.000.000 – 9.000.000,Outsourcing Services,Jakarta Selatan,>100,750,['Sales']
TPM Group,Sales Specialist,Penuh waktu,Hybrid,Jakarta,Min. Freshgrad,Rp4.000.000 – 9.000.000,Outsourcing Services,Jakarta Selatan,>100,750,['Sales']
PT INISIATIF SEMUA BISA,Account Executive Jawa tengah (Kota/Kab. Semarang & Kendal),Penuh waktu,On-site,Semarang,Min. Freshgrad,Rp2.500.000 – 5.000.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,751,"['Sales', 'Account Management']"
PT INISIATIF SEMUA BISA,Sales Executive Samarinda Kalimantan Timur,Kontrak,On-site,Samarinda,Min. Freshgrad,Rp3.500.000 – 5.000.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,752,['Sales']
TPM Group,Salesperson,Kontrak,On-site,Bogor,Min. Freshgrad,Rp2.300.000 – 7.000.000,Outsourcing Services,Jakarta Selatan,>100,755,['Sales']
TPM Group,Salesperson,Kontrak,On-site,Bogor,Min. Freshgrad,Rp2.300.000 – 7.000.000,Outsourcing Services,Jakarta Selatan,>100,755,['Sales']
TPM Group,Salesperson,Kontrak,On-site,Bogor,Min. Freshgrad,Rp2.300.000 – 7.000.000,Outsourcing Services,Jakarta Selatan,>100,755,['Sales']
TPM Group,Direct Sales,Penuh waktu,On-site,Banjar,Min. Freshgrad,Rp2.800.000 – 4.000.000,Outsourcing Services,Jakarta Selatan,>100,756,['Sales']
TPM Group,SPG & SPB (Tangerang),Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp4.000.000 – 5.000.000,Outsourcing Services,Jakarta Selatan,>100,757,"['Sales', 'Retail']"
TPM Group,DIRECT SALES WIFI (JABODETABEK),Penuh waktu,Hybrid,Jakarta,Min. Freshgrad,Rp4.000.000 – 9.000.000,Outsourcing Services,Jakarta Selatan,>100,758,['Sales']
TPM Group,Marketing Wifi My Republic Bandung,Penuh waktu,On-site,Bandung,Min. Freshgrad,Rp3.000.000 – 12.500.000,Outsourcing Services,Jakarta Selatan,>100,759,"['Marketing', 'Sales']"
Nanovest,Senior SEO Specialist,Kontrak,Hybrid,Jakarta Selatan,Min. 4 years of experience,Rp7.000.000 – 9.000.000,"Tech Company, Fintech",Jakarta Selatan,>100,760,"['Marketing', 'Management & Leadership']"
PT Mergonoto Investama,Assistant Pastry Chef,Penuh waktu,On-site,Surabaya,Min. 1 years of experience,Rp4.500.000 – 5.000.000,Holding Companies,Surabaya,>100,761,['Hospitality & F&B']
SG-EDTS,DevOps Engineer,Penuh waktu,On-site,Jakarta Pusat,Min. 4 years of experience,Negotiable,IT Services And IT Consulting,Jakarta,-,762,['DevOps']
Kharisma Potensia Indonesia,Sales Executive Provider Tree area Yogyakarta,Kontrak,On-site,Yogyakarta,Min. Freshgrad,Rp2.492.997 – 3.000.000,Human Resources and Consulting,Jakarta,>100,763,['Sales']
Kavela,Product Designer Intern,Magang,On-site,Bekasi,Min. 4th Year College Student,Negotiable,Health and Personal Care,Bekasi,1–50,764,"['Internship & Trainee Programs', 'Product Management', 'Creative & Design', 'UI/UX Design']"
PT Indonesia Fintopia Technology (Easycash),Senior Partnership Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 5+ years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,765,"['Business Development', 'Sales', 'Management & Leadership']"
IDEKU,Senior DevOps,Kontrak,On-site,Jakarta Barat,Min. 4 years of experience,Negotiable,IT System Custom Software Development,Jakarta Barat,50–100,766,"['DevOps', 'Management & Leadership']"
Turnkey Inside,Data Monitoring & Automation Internship,Magang,On-site,Yogyakarta,Min. 4th Year College Student,Rp2.000.000 – 3.500.000,Financial Technology,Tangerang,1–50,767,"['Internship & Trainee Programs', 'Data Science & Analytics', 'IT Operations & Support', 'Software Engineering']"
Lintas Media Danawa,Backend Developer,Kontrak,On-site,Jakarta,Min. 1 years of experience,Negotiable,Teknologi Informasi,Depok,1–50,768,['Software Engineering']
PT Pruwinner,Marketing Internship,Magang,Hybrid,Jakarta Selatan,Min. Freshgrad,Rp6.000.000 – 10.000.000,Insurance,Jakarta Selatan,1–50,769,"['Internship & Trainee Programs', 'Marketing']"
TPM Group,MARKETING WIFI KOTA BANDUNG,Kontrak,On-site,Bandung,Min. Freshgrad,Rp3.000.000 – 4.000.000,Outsourcing Services,Jakarta Selatan,>100,770,"['Marketing', 'Sales']"
Yayasan Konservasi Alam Nusantara,Conservation Acquisition Representative - Bandung,Penuh waktu,On-site,Bandung,Min. Freshgrad,Rp3.500.000 – 7.000.000,Non-Profit Organizations,Jakarta Selatan,-,771,"['Sales', 'Business Development', 'Other']"
VCGamers,User Happiness Freelance,Freelance,On-site,Bekasi,Min. Freshgrad,Rp1.500.000 – 2.000.000,ECommerce,Bekasi,1–50,773,['Customer Service & Support']
Bringin Inti Teknologi,Data Operation (IT),Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Technology and Software Solutions,Jakarta Pusat,50–100,774,"['Data Science & Analytics', 'IT Operations & Support']"
PT Vidya Artha Tama,PROMOTOR / SPG,Kontrak,On-site,Jakarta,Min. 1 years of experience,Rp4.600.000 – 4.700.000,Facilities Services,Jakarta,-,775,"['Sales', 'Retail']"
Kharisma Potensia Indonesia,Sales Executive,Penuh waktu,On-site,Mojokerto Regency,Min. 5+ years of experience,Rp2.800.000 – 5.000.000,Human Resources and Consulting,Jakarta,>100,776,['Sales']
Kharisma Potensia Indonesia,Sales Executive,Penuh waktu,On-site,Mojokerto Regency,Min. 5+ years of experience,Rp2.800.000 – 5.000.000,Human Resources and Consulting,Jakarta,>100,776,['Sales']
Kharisma Potensia Indonesia,Sales Supervisor area Balikpapan,Kontrak,On-site,Balikpapan,Min. 1 years of experience,Rp4.000.000 – 6.500.000,Human Resources and Consulting,Jakarta,>100,777,"['Sales', 'Management & Leadership']"
Kharisma Potensia Indonesia,"Sales B2B, Kota Pekanbaru",Penuh waktu,On-site,Pekanbaru,Min. 1 years of experience,Rp3.451.584 – 4.500.000,Human Resources and Consulting,Jakarta,>100,778,"['Sales', 'Business Development']"
Kharisma Potensia Indonesia,Sales Executive Tree area Bantul Yogyakarta,Kontrak,On-site,Bantul Regency,Min. Freshgrad,Rp2.492.997 – 3.000.000,Human Resources and Consulting,Jakarta,>100,779,['Sales']
Kharisma Potensia Indonesia,Sales Executive Tree area Sleman Yogyakarta,Kontrak,On-site,Sleman Regency,Min. Freshgrad,Rp2.492.997 – 3.000.000,Human Resources and Consulting,Jakarta,>100,780,['Sales']
Kharisma Potensia Indonesia,Branch Coordinator Sales,Kontrak,On-site,Cikarang Utara,Min. 1 years of experience,Rp5.000.000 – 6.500.000,Human Resources and Consulting,Jakarta,>100,781,"['Sales', 'Management & Leadership']"
Kronikel,Live Streamer,Penuh waktu,On-site,Jakarta Pusat,Min. 1st Year College Student,Rp3.000.000 – 4.000.000,Apparel & Fashion,Jakarta Utara,-,782,"['Marketing', 'Creative & Design']"
Redwoods Digital,Business Operations Specialist,Penuh waktu,On-site,Tangerang Selatan,Min. 4 years of experience,Negotiable,"Digital, Tech, Content, Media, Creative",Tangerang Selatan,1–50,783,['Operations Management']
Papandayan Cargo,National Key Account (Sales B2B),Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Truck Transportation,Jakarta,50–100,787,"['Account Management', 'Sales', 'Business Development']"
PT INISIATIF SEMUA BISA,Sales Executive Depok Jawa Barat,Kontrak,On-site,Depok,Min. Freshgrad,Rp5.100.000 – 6.500.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,788,['Sales']
PT INISIATIF SEMUA BISA,Sales Canvasser (Jakarta Timur),Kontrak,On-site,Jakarta Timur,Min. 1 years of experience,Rp4.000.000 – 5.067.381,Business Process Outsourcing (BPO),Yogyakarta,50–100,789,['Sales']
PT INISIATIF SEMUA BISA,Sales Executive (Binjai Sumatera Utara),Kontrak,On-site,Binjai,Min. Freshgrad,Rp2.800.000 – 4.500.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,790,['Sales']
PT INISIATIF SEMUA BISA,"Sales Executive Jawa Tengah (Batang, Pekalongan, Pemalang)",Kontrak,On-site,Pekalongan Regency,Min. Freshgrad,Rp2.300.000 – 4.000.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,791,['Sales']
PT INISIATIF SEMUA BISA,Sales Executive (Bengkalis Riau),Kontrak,On-site,Bengkalis Regency,Min. Freshgrad,Rp3.000.000 – 5.000.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,792,['Sales']
Tim Jess No Limit & Sisca Kohl,News Reporter,Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,793,"['Creative & Design', 'Marketing', 'Public Relations']"
Tim Jess No Limit & Sisca Kohl,Brand Manager (TopUpNoLimit.com),Penuh waktu,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,794,"['Marketing', 'Management & Leadership']"
PT INISIATIF SEMUA BISA,Sales Executive Banyuwangi Jawa Timur,Kontrak,On-site,Banyuwangi Regency,Min. Freshgrad,Rp2.800.000 – 3.500.000,Business Process Outsourcing (BPO),Yogyakarta,50–100,795,['Sales']
Reemotely,UI/UX Designer (Remote),Penuh waktu,Remote,-,Min. 1 years of experience,Rp3.500.000 – 4.000.000,Recruitment Service and Consultant,Yogyakarta,1–50,796,"['UI/UX Design', 'Creative & Design']"
Rekosistem,Account Officer Yogyakarta,Kontrak,On-site,Yogyakarta,Min. Freshgrad,Negotiable,Environmental Services,Jakarta,1–50,797,"['Sales', 'Account Management', 'Finance']"
Rekosistem,Head of Waste Hub (Yogyakarta),Kontrak,On-site,Yogyakarta,Min. Freshgrad,Negotiable,Environmental Services,Jakarta,1–50,798,"['Operations Management', 'Supply Chain & Logistics', 'Health, Safety & Environment (HSE)', 'Management & Leadership']"
Tim Jess No Limit & Sisca Kohl,Creative Producer,Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,799,"['Creative & Design', 'Project Management']"
Tim Jess No Limit & Sisca Kohl,Chief Executive Officer (CEO) at TopUpNoLimit.com,Penuh waktu,On-site,Indonesia,Min. 5+ years of experience,Negotiable,Advertising and Media,Jakarta Barat,1–50,800,['Management & Leadership']
Clerina Group,Lead KOL Specialist,Kontrak,On-site,Bandung,Min. 1 years of experience,Negotiable,Beauty and Cosmetics,Bandung,1–50,801,"['Marketing', 'Management & Leadership']"
IDEKU,Senior Sales Executive,Kontrak,Hybrid,Batam,Min. 4 years of experience,Negotiable,IT System Custom Software Development,Jakarta Barat,50–100,802,"['Sales', 'Management & Leadership']"
V-Green Indonesia ,Logistics Specialist (Exim Staff),Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Rp7.000.000 – 9.000.000,Industrial Machinery Manufacturing,Jakarta Selatan,1–50,803,['Supply Chain & Logistics']
PT Vidya Artha Tama,Sales Promotor,Kontrak,On-site,Jakarta Timur,Min. 1 years of experience,Rp4.500.000 – 5.067.381,Facilities Services,Jakarta,-,804,"['Sales', 'Retail']"
TPM Group,Sales And Marketing Specialist,Kontrak,On-site,Serang,Min. 1st Year College Student,Rp2.700.000 – 10.000.000,Outsourcing Services,Jakarta Selatan,>100,805,"['Sales', 'Marketing']"
TPM Group,Sales And Marketing Specialist,Kontrak,On-site,Serang,Min. 1st Year College Student,Rp2.700.000 – 10.000.000,Outsourcing Services,Jakarta Selatan,>100,805,"['Sales', 'Marketing']"
TPM Group,Sales And Marketing Specialist,Kontrak,On-site,Serang,Min. 1st Year College Student,Rp2.700.000 – 10.000.000,Outsourcing Services,Jakarta Selatan,>100,805,"['Sales', 'Marketing']"
Mitramas Infosys Global,Senior Web Content Creator,Kontrak,Hybrid,Jakarta,Min. 4 years of experience,Rp6.000.000 – 7.000.000,Information Technology / IT,Jakarta Selatan,50–100,806,"['Creative & Design', 'Marketing', 'Software Engineering']"
PT Vidya Artha Tama,Daily Worker Engineering,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp2.000.000 – 3.000.000,Facilities Services,Jakarta,-,807,"['Engineering (non-software)', 'Skilled Trades & Technician']"
House of Donatello,TIKTOK SPECIALIST (E-commerce Specialist),Penuh waktu,On-site,Bandung,Min. 1 years of experience,Rp4.500.000 – 5.000.000,Retail,Bandung,>100,808,"['Marketing', 'E-commerce', 'Creative & Design']"
TPM Group,Salesperson,Kontrak,Hybrid,Madiun,Min. 1 years of experience,Rp2.400.000 – 5.000.000,Outsourcing Services,Jakarta Selatan,>100,810,['Sales']
TPM Group,Salesperson,Kontrak,Hybrid,Madiun,Min. 1 years of experience,Rp2.400.000 – 5.000.000,Outsourcing Services,Jakarta Selatan,>100,810,['Sales']
TPM Group,Salesperson,Kontrak,Hybrid,Madiun,Min. 1 years of experience,Rp2.400.000 – 5.000.000,Outsourcing Services,Jakarta Selatan,>100,810,['Sales']
PT Indonesia Fintopia Technology (Easycash),iOS Engineer,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,812,['Software Engineering']
PT Indonesia Fintopia Technology (Easycash),Desk Collection Supervisor,Kontrak,On-site,Jakarta Selatan,Min. 4 years of experience,Rp9.000.000 – 12.000.000,"Tech Company, Fintech",Jakarta,50–100,813,"['Finance', 'Sales', 'Customer Service & Support', 'Management & Leadership']"
PT Indonesia Fintopia Technology (Easycash),Internal Audit,Penuh waktu,On-site,Jakarta Selatan,Min. 5+ years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,814,['Audit']
TPM Group,Account executive (AE),Penuh waktu,On-site,Semarang Regency,Min. Freshgrad,Rp3.000.000 – 6.000.000,Outsourcing Services,Jakarta Selatan,>100,815,"['Sales', 'Account Management']"
Sprint Asia,Marketing Communication [Bayarind],Kontrak,On-site,Tangerang Selatan,Min. 1 years of experience,Negotiable,IT Services And IT Consulting,Jakarta,50–100,816,"['Marketing', 'Public Relations']"
Kharisma Potensia Indonesia,"Sales Supervisor, Kota Pontianak",Kontrak,On-site,Pontianak,Min. 1 years of experience,Rp3.000.000 – 4.500.000,Human Resources and Consulting,Jakarta,>100,817,"['Sales', 'Management & Leadership']"
ANTARESTAR,E-Commerce Specialist,Penuh waktu,On-site,Bekasi,Min. 1 years of experience,Negotiable,Apparel & Fashion,Bekasi,50–100,818,"['E-commerce', 'Marketing', 'Sales']"
PT Optima Technology Indonesia,Host Live Streamer,Penuh waktu,On-site,Jakarta Utara,Min. Freshgrad,Rp4.000.000 – 5.500.000,"Branding, Creative and Digital Agency Indonesia",Jakarta Utara,1–50,819,"['Marketing', 'Creative & Design']"
HIGO,Campaign Strategist Intern,Magang,On-site,Jakarta Barat,Min. 4th Year College Student,Rp1.500.000 – 2.000.000,Wifi Platform & Integrated Digital Agency,Jakarta Barat,50–100,820,"['Internship & Trainee Programs', 'Marketing']"
PT. Mirael Natural Indonesia,Content Creator & Talent (Intern),Magang,On-site,Jakarta Barat,Min. 3rd Year College Student,Rp1.000.000 – 1.500.000,Retail Health And Beauty,Jakarta,>100,821,"['Internship & Trainee Programs', 'Creative & Design', 'Marketing']"
DGtraffic Indonesia,Senior Web developer,Kontrak,On-site,Jakarta Pusat,Min. 4 years of experience,Negotiable,Advertising,Jakarta,>100,822,"['Software Engineering', 'Management & Leadership']"
Bee Smart Education Center,Math and Physics Teacher,Penuh waktu,On-site,Bogor Regency,Min. Freshgrad,Rp4.000.000 – 6.500.000,Education,Bogor Regency,1–50,823,['Education & Training']
ANTARESTAR,Digital Advertiser,Kontrak,On-site,Bekasi,Min. 1 years of experience,Negotiable,Apparel & Fashion,Bekasi,50–100,824,['Marketing']
Bringin Inti Teknologi,Ahli K3 Data Center,Penuh waktu,On-site,Bali,Min. 1 years of experience,Negotiable,Technology and Software Solutions,Jakarta Pusat,50–100,825,"['Health, Safety & Environment (HSE)', 'IT Operations & Support']"
Ginchoux,CDP Pastry,Penuh waktu,On-site,Jakarta Barat,Min. 1 years of experience,Rp4.000.000 – 6.000.000,Kuliner,Jakarta Barat,1–50,826,['Hospitality & F&B']
Imajin,Purchasing Engineer,Penuh waktu,On-site,Tangerang Regency,Min. 1 years of experience,Negotiable,Consumer Services,Tangerang,1–50,827,"['Supply Chain & Logistics', 'Engineering (non-software)']"
PT ELUON,Account Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Rp10.000.000 – 15.000.000,Telecommunications Service Provider,Jakarta,1–50,829,"['Account Management', 'Sales']"
IBLAM School of Law,Chief Creative Officer,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Rp7.000.000 – 10.000.000,Higher Education,Jakarta Selatan,1–50,830,"['Creative & Design', 'Management & Leadership']"
