jobs_id,job_position,kategori
775,PROMOTOR / SPG,"['Sales', 'Retail']"
776,Sales Executive,"['Sales']"
777,Sales Supervisor area Balikpapan,"['Sales', 'Management & Leadership']"
778,"Sales B2B, Kota Pekanbaru","['Sales', 'Business Development']"
779,Sales Executive Tree area Bantul Yogyakarta,"['Sales']"
780,Sales Executive Tree area Sleman Yogyakarta,"['Sales']"
781,Branch Coordinator Sales,"['Sales', 'Management & Leadership']"
782,Live Streamer,"['Marketing', 'Creative & Design']"
783,Business Operations Specialist,"['Operations Management']"
784,Driver Logistik (SIM B),"['Supply Chain & Logistics', 'Skilled Trades & Technician']"
785,Tax Accountant,"['Tax', 'Accounting']"
786,Driver Logistik,"['Supply Chain & Logistics', 'Skilled Trades & Technician']"
787,National Key Account (Sales B2B),"['Account Management', 'Sales', 'Business Development']"
788,Sales Executive Depok Jawa Barat,"['Sales']"
789,Sales Canvasser (Jakarta Timur),"['Sales']"
790,Sales Executive (Binjai Sumatera Utara),"['Sales']"
791,"Sales Executive Jawa Tengah (Batang, Pekalongan, Pemalang)","['Sales']"
792,Sales Executive (Bengkalis Riau),"['Sales']"
793,News Reporter,"['Creative & Design', 'Marketing', 'Public Relations']"
794,Brand Manager (TopUpNoLimit.com),"['Marketing', 'Management & Leadership']"
795,Sales Executive Banyuwangi Jawa Timur,"['Sales']"
796,UI/UX Designer (Remote),"['UI/UX Design', 'Creative & Design']"
797,Account Officer Yogyakarta,"['Sales', 'Account Management', 'Finance']"
798,Head of Waste Hub (Yogyakarta),"['Operations Management', 'Supply Chain & Logistics', 'Health, Safety & Environment (HSE)', 'Management & Leadership']"
799,Creative Producer,"['Creative & Design', 'Project Management']"
800,Chief Executive Officer (CEO) at TopUpNoLimit.com,"['Management & Leadership']"
801,Lead KOL Specialist,"['Marketing', 'Management & Leadership']"
802,Senior Sales Executive,"['Sales', 'Management & Leadership']"
803,Logistics Specialist (Exim Staff),"['Supply Chain & Logistics']"
804,Sales Promotor,"['Sales', 'Retail']"
805,Sales And Marketing Specialist,"['Sales', 'Marketing']"
806,Senior Web Content Creator,"['Creative & Design', 'Marketing', 'Software Engineering']"
807,Daily Worker Engineering,"['Engineering (non-software)', 'Skilled Trades & Technician']"
808,TIKTOK SPECIALIST (E-commerce Specialist),"['Marketing', 'E-commerce', 'Creative & Design']"
809,Team Leader Sales Wifi,"['Sales', 'Management & Leadership']"
810,Salesperson,"['Sales']"
811,Sales Specialist,"['Sales']"
812,iOS Engineer,"['Software Engineering']"
813,Desk Collection Supervisor,"['Finance', 'Sales', 'Customer Service & Support', 'Management & Leadership']"
814,Internal Audit,"['Audit']"
815,Account executive (AE),"['Sales', 'Account Management']"
816,Marketing Communication [Bayarind],"['Marketing', 'Public Relations']"
817,"Sales Supervisor, Kota Pontianak","['Sales', 'Management & Leadership']"
818,E-Commerce Specialist,"['E-commerce', 'Marketing', 'Sales']"
819,Host Live Streamer,"['Marketing', 'Creative & Design']"
820,Campaign Strategist Intern,"['Internship & Trainee Programs', 'Marketing']"
821,Content Creator & Talent (Intern),"['Internship & Trainee Programs', 'Creative & Design', 'Marketing']"
822,Senior Web developer,"['Software Engineering', 'Management & Leadership']"
823,Math and Physics Teacher,"['Education & Training']"
824,Digital Advertiser,"['Marketing']"
825,Ahli K3 Data Center,"['Health, Safety & Environment (HSE)', 'IT Operations & Support']"
826,CDP Pastry,"['Hospitality & F&B']"
827,Purchasing Engineer,"['Supply Chain & Logistics', 'Engineering (non-software)']"
828,Business Operation (retail),"['Operations Management', 'Retail']"
829,Account Manager,"['Account Management', 'Sales']"
830,Chief Creative Officer,"['Creative & Design', 'Management & Leadership']"
831,Business Development Consultant,"['Business Development', 'Sales', 'Consulting']"
832,Kurir Motor area Makassar Sulawesi Selatan,"['Supply Chain & Logistics', 'Skilled Trades & Technician']"
833,Pricing Analyst (Commercial),"['Finance', 'Data Science & Analytics', 'Sales', 'Marketing']"
834,Graphic Design Intern,"['Internship & Trainee Programs', 'Creative & Design']"
835,Academic Tutor - Informatics,"['Education & Training', 'IT Operations & Support', 'Software Engineering']"
836,Sales Supervisor,"['Sales', 'Management & Leadership']"
837,Housekeeper,"['Hospitality & F&B', 'Skilled Trades & Technician']"
838,Sales Interior,"['Sales', 'Creative & Design']"
839,Baker,"['Hospitality & F&B']"
840,Market Analyst Internship,"['Internship & Trainee Programs', 'Marketing', 'Data Science & Analytics', 'Research & Development']"
841,Full Stack Web Developer,"['Software Engineering']"
842,Treasury Execution & Analyst,"['Finance']"
843,Chemical Engineering Laboratory Staff,"['Engineering (non-software)', 'Research & Development', 'Skilled Trades & Technician']"
844,Management Trainee Program Batch 11,"['Internship & Trainee Programs', 'Management & Leadership']"
845,Brand Associate,"['Marketing']"
846,Talent Acquisition Officer,"['Recruitment']"
847,Warehouse - Supervisor Area Distribution (SAD) - Bandung,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
848,Payroll Staff - Wilayah Jakarta Utara,"['Compensation & Benefits', 'Human Resources']"
849,Network Engineer,"['IT Operations & Support']"
850,Junior Brand Manager,"['Marketing']"
851,Admin Marketing,"['Administrative & Secretarial', 'Marketing']"
852,INTERNAL AUDITOR,"['Audit']"
853,Supply Excellence Senior Associate,"['Supply Chain & Logistics', 'Operations Management']"
854,Administration Staff - Wilayah Jakarta Banten,"['Administrative & Secretarial']"
855,Fleet Team Leader - Makassar,"['Supply Chain & Logistics', 'Management & Leadership']"
856,Content Performance Intern,"['Internship & Trainee Programs', 'Marketing', 'Data Science & Analytics']"
857,Fleet Team Leader - Bekasi,"['Supply Chain & Logistics', 'Management & Leadership']"
858,Administration Staff - Wilayah Jakarta Banten,"['Administrative & Secretarial']"
859,Management Trainee 2025,"['Internship & Trainee Programs', 'Management & Leadership']"
860,Receptionist,"['Administrative & Secretarial']"
861,Customer Support Executive,"['Customer Service & Support']"
862,Internal Auditor,"['Audit']"
863,Supply Planning Supervisor,"['Supply Chain & Logistics', 'Management & Leadership']"
864,Social Media & Content Intern,"['Internship & Trainee Programs', 'Marketing', 'Creative & Design']"
865,Business Analyst Internship,"['Internship & Trainee Programs', 'Business Analysis']"
866,Project Management Executive,"['Project Management']"
867,Division Head Finance & Accounting,"['Finance', 'Accounting', 'Management & Leadership']"
868,Procurement Project & Planning Staff,"['Supply Chain & Logistics', 'Project Management']"
869,Brand Marketing Associate,"['Marketing']"
870,Quantity Surveyor,"['Engineering (non-software)', 'Finance']"
871,Employee Relation Compliance (ERC),"['Human Resources', 'Legal & Compliance']"
872,Admin HR & GA,"['Administrative & Secretarial', 'Human Resources']"
873,Talent Acquisition Specialist (Project-Based),"['Recruitment']"
874,"IT Architecture, Infrastructure & Asset Management","['IT Operations & Support', 'Software Engineering', 'Management & Leadership']"
875,Graphic Design Intern,"['Internship & Trainee Programs', 'Creative & Design']"
876,Warehouse - Quality Assurance (QA) - Bekasi,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
877,General Affair Staff (Maintanance)- Jakarta 2,"['Administrative & Secretarial', 'Skilled Trades & Technician']"
878,Customer Experience Specialist,"['Customer Service & Support', 'Marketing']"
879,Product Manager,"['Product Management']"
880,Retail Credit Suport Intern,"['Internship & Trainee Programs', 'Finance', 'Retail', 'Risk Management']"
881,"Hub Operations Officer (Lembang, Bandung)","['Operations Management', 'Supply Chain & Logistics', 'Warehouse Management']"
882,HC Organization & Operations Intern,"['Internship & Trainee Programs', 'Human Resources', 'Operations Management']"
883,Export Business Development (Mandarin Speaking),"['Business Development', 'Sales', 'Supply Chain & Logistics']"
884,Legal Permit IMB,"['Legal & Compliance']"
885,IT Software Staff,"['Software Engineering', 'IT Operations & Support']"
886,E-Commerce Intern,"['Internship & Trainee Programs', 'E-commerce', 'Marketing', 'Sales']"
887,HSE Officer - Serang Placement,"['Health, Safety & Environment (HSE)']"
888,Sales Officer,"['Sales']"
889,QA Auditor,"['Quality Assurance (Non-Software)', 'Audit']"
890,Live Streaming Coordinator - Live & Go,"['Marketing', 'Creative & Design', 'Management & Leadership']"
891,Finance Area Staff,"['Finance', 'Accounting']"
892,Staff Pengolahan Limbah - Serang Placement,"['Health, Safety & Environment (HSE)', 'Skilled Trades & Technician']"
893,Product Manager,"['Product Management']"
894,Digital Marketing Analyst,"['Marketing', 'Data Science & Analytics']"
895,Marketing Event,"['Marketing']"
896,Retail Manager (Bekasi),"['Retail', 'Management & Leadership', 'Sales']"
897,Talent Development Officer,"['Human Resources', 'Learning & Development']"
898,UI / UX Designer,"['UI/UX Design', 'Creative & Design']"
899,Reseller Account Spv (Surabaya),"['Sales', 'Account Management', 'Management & Leadership']"
900,Talent Acquisition Intern,"['Internship & Trainee Programs', 'Recruitment']"
901,Product Manager,"['Product Management']"
902,Brand Manager,"['Marketing', 'Management & Leadership']"
903,Accounting and Reporting Officer,"['Accounting', 'Finance']"
904,Business Development - Card & Personal Loan Business,"['Business Development', 'Sales', 'Finance']"
905,Head of Project Manager (KOL Industry),"['Project Management', 'Marketing', 'Management & Leadership']"
906,Web/Application Developer Intern,"['Internship & Trainee Programs', 'Software Engineering']"
907,Electrical Engineer,"['Engineering (non-software)']"
908,Lead Generator Intern,"['Internship & Trainee Programs', 'Sales', 'Marketing']"
909,Freelance Recruiter,"['Recruitment']"
910,Accounting Officer (3 Months Contract),"['Accounting']"
911,Product Management Intern,"['Internship & Trainee Programs', 'Product Management']"
912,Sales Representative (West Java),"['Sales']"
913,SME RM,"['Account Management', 'Sales', 'Finance']"
914,Human Resource Specialist,"['Human Resources']"
915,Presentation Designer,"['Creative & Design']"
916,Software Quality Assurance Analyst,"['Quality Assurance (Software)']"
917,Business Development,"['Business Development', 'Sales']"
918,Sales Lead (B2B),"['Sales', 'Business Development', 'Management & Leadership']"
919,Marketing Admin,"['Administrative & Secretarial', 'Marketing']"
920,Event & Project Management Intern,"['Internship & Trainee Programs', 'Marketing', 'Project Management']"
921,Software Engineering Manager,"['Software Engineering', 'Management & Leadership']"
922,Sales Executive (B2B),"['Sales', 'Business Development']"
923,Senior Sales Development Representative (SDR),"['Sales', 'Business Development', 'Management & Leadership']"
924,Organizational Development Specialist,"['Human Resources']"
925,HR Generalist,"['Human Resources']"
926,Senior Accounting Admin,"['Accounting', 'Administrative & Secretarial']"
927,Account Manager (B2B),"['Account Management', 'Sales', 'Business Development']"
928,Human Capital Lead,"['Human Resources', 'Management & Leadership']"
929,Growth & Strategy Associate,"['Marketing', 'Business Analysis', 'Business Development']"
930,Head of Marketing & Growth,"['Marketing', 'Management & Leadership']"
931,Senior Data Engineer,"['Data Science & Analytics', 'Management & Leadership']"
932,Digital Performance Specialist (ex-agency only),"['Marketing']"
933,Performance Marketing Specialist (ex-agency only),"['Marketing']"
934,Paid Campaign Strategist (KOL & Community),"['Marketing']"
935,Event and Publication Sr. Officer,"['Marketing', 'Public Relations', 'Creative & Design']"
936,Strategic Planner,"['Business Analysis', 'Marketing', 'Management & Leadership']"
937,Brand Manager,"['Marketing', 'Management & Leadership']"
938,Retail Business Analyst Manager,"['Retail', 'Business Analysis', 'Data Science & Analytics', 'Management & Leadership']"
939,DSC Parts Supply Staff (Tangerang),"['Supply Chain & Logistics', 'Warehouse Management']"
940,Account Executive (Karawang),"['Sales', 'Account Management']"
941,Retail Manager (Padang Sidempuan),"['Retail', 'Management & Leadership', 'Sales']"
942,Campaign Operations Intern,"['Internship & Trainee Programs', 'Marketing', 'Operations Management']"
943,Junior Inbound & Inventory,"['Warehouse Management', 'Supply Chain & Logistics']"
944,Key Account Executive (E-Commerce),"['Account Management', 'Sales', 'E-commerce']"
945,Store Operations Admin (Yogyakarta),"['Retail', 'Operations Management', 'Administrative & Secretarial']"
946,Accounting Specialist,"['Accounting']"
947,Area Manager,"['Management & Leadership', 'Operations Management', 'Sales']"
948,Accounting & Tax Analyst,"['Accounting', 'Tax', 'Data Science & Analytics']"
949,People Development Intern,"['Internship & Trainee Programs', 'Human Resources', 'Learning & Development']"
950,Freelance Mass Hiring Recruitment,"['Recruitment']"
951,AP Staff,"['Accounting']"
952,Area Sales Supervisor Tangerang,"['Sales', 'Management & Leadership']"
953,Key Account Manager,"['Account Management', 'Sales']"
954,Flutter Developer Intern,"['Internship & Trainee Programs', 'Software Engineering']"
955,Human Resources Business Partner,"['Human Resources']"
956,ERP Functional Support,"['IT Operations & Support', 'Software Engineering', 'Business Analysis']"
957,Head of Search Engine Optimization,"['Marketing', 'Management & Leadership']"
958,Cost Controller,"['Accounting', 'Finance']"
959,Admin GA Internship,"['Internship & Trainee Programs', 'Administrative & Secretarial']"
960,Business Process Analyst Intern,"['Internship & Trainee Programs', 'Business Analysis', 'Operations Management']"
961,Finance Accounting and Tax Associate,"['Finance', 'Accounting', 'Tax']"
962,Maintenance Planner & Reliability (SJA Semarang),"['Skilled Trades & Technician', 'Engineering (non-software)', 'Supply Chain & Logistics']"
963,Legal Internship,"['Internship & Trainee Programs', 'Legal & Compliance']"
964,Technology Lead,"['IT Operations & Support', 'Software Engineering', 'Management & Leadership']"
965,Engineering Product - Drafter,"['Engineering (non-software)', 'Creative & Design', 'Product Management']"
966,Innovation Lab Intern,"['Internship & Trainee Programs', 'Research & Development', 'Product Management']"
967,Area Finance Staff,"['Finance', 'Accounting']"
968,Warehouse - Supervisor Area Distribution (SAD) - Tangerang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
969,Accounting Staff,"['Accounting']"
970,Warehouse Head - Penempatan Seluruh Wilayah Jawa Barat,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
971,Area Sales & Promotion Supervisor - Bandung,"['Sales', 'Marketing', 'Management & Leadership']"
972,Finance Account Receivable Supervisor,"['Finance', 'Accounting', 'Management & Leadership']"
973,Executive Chef,"['Hospitality & F&B', 'Management & Leadership']"
974,E-Commerce Specialist,"['E-commerce', 'Marketing', 'Sales']"
975,Bancassurance Financial Advisor (Seluruh Wilayah Indonesia),"['Sales', 'Finance', 'Consulting']"
976,Brand Manager,"['Marketing', 'Management & Leadership']"
977,Sales Executive,"['Sales']"
978,Admin Sales (E-Commerce),"['Administrative & Secretarial', 'Sales', 'E-commerce']"
979,Logistic Manager (Sumbagut),"['Supply Chain & Logistics', 'Management & Leadership']"
980,Staff General Affair - Bali (Outsource Contract),"['Administrative & Secretarial']"
981,Bancassurance Consultant area Jakarta,"['Sales', 'Finance', 'Consulting']"
982,Product Owner,"['Product Management']"
983,General Affair Staff (Vehicle Maintenance),"['Administrative & Secretarial', 'Skilled Trades & Technician', 'Supply Chain & Logistics']"
984,Talent Acquisition Intern,"['Internship & Trainee Programs', 'Recruitment']"
985,IT Core Loan Developer,"['Software Engineering', 'Finance']"
986,"[Tech x Programme ONLY] Software, Web/Mobile & Applications Development (Android/iOS)","['Software Engineering', 'Internship & Trainee Programs']"
987,[Tech x Programme ONLY] IT Developer (Core Loan System),"['Software Engineering', 'Finance', 'Internship & Trainee Programs']"
988,AML-CFT Specialist,"['Legal & Compliance', 'Risk Management', 'Finance']"
989,Warehouse - Quality Assurance (QA) - Cirebon,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
990,Kinto Business Consultant,"['Sales', 'Consulting', 'Finance']"
991,Area Sales Supervisor (West Kalimantan Area),"['Sales', 'Management & Leadership']"
992,Warehouse - Distribution Coordiantor (DC) - Tasikmalaya,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
993,Data Analyst Marketing,"['Data Science & Analytics', 'Marketing']"
994,SR DIGITAL MARKETING SPECIALIST,"['Marketing', 'Management & Leadership']"
995,Warehouse - Distribution Coordiantor (DC) - Karawang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
996,Frozen Warehouse Manager,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
997,Area Sales Supervisor - Bukittinggi,"['Sales', 'Management & Leadership']"
998,IT Business Analyst Sr. Specialist,"['Business Analysis', 'IT Operations & Support', 'Management & Leadership']"
999,Digital Marketing Specialist,"['Marketing']"
1000,Pharmacist (All Indonesia),"['Healthcare & Medical']"
1001,IT Product (Mandarin Speaker),"['Product Management', 'IT Operations & Support', 'Software Engineering']"
1002,Regional Sales Manager (Sumatera),"['Sales', 'Management & Leadership']"
1003,Professional Mandarin Speaker,"['Other']"
1004,Ads Specialist,"['Marketing']"
1005,Area Sales Lead (Banten),"['Sales', 'Management & Leadership']"
1006,HC Payroll & Compensation Analyst,"['Compensation & Benefits', 'Human Resources', 'Data Science & Analytics']"
1007,Sales and Partnership Assistant Manager - Live & Go (Emtek Group),"['Sales', 'Business Development', 'Management & Leadership']"
1008,Salesman,"['Sales']"
1009,Field Sales Supervisor (Consumer),"['Sales', 'Management & Leadership']"
1010,Consumer Activation Supervisor - Wilayah Jakarta Banten,"['Marketing', 'Sales', 'Management & Leadership']"
1011,Internal Audit Supervisor [Store Audit],"['Audit', 'Retail', 'Management & Leadership']"
1012,District Sales Manager,"['Sales', 'Management & Leadership']"
1013,General Affair Staff (Maintanance)- Banjarmasin,"['Administrative & Secretarial', 'Skilled Trades & Technician']"
1014,Salesman - Manado,"['Sales']"
1015,Area Sales & Promotion Supervisor,"['Sales', 'Marketing', 'Management & Leadership']"
1016,Salesman (Jakarta),"['Sales']"
1017,Area Sales Supervisor,"['Sales', 'Management & Leadership']"
1018,After Sales Service Admin - Mandarin Speaker,"['Administrative & Secretarial', 'Customer Service & Support']"
1019,Sales Specialist,"['Sales']"
1020,Teknisi HVAC,"['Skilled Trades & Technician', 'Engineering (non-software)']"
1021,Project Sales B2B - Bekasi,"['Sales', 'Business Development', 'Project Management']"
1022,3D Graphic Designer,"['Creative & Design']"
1023,Graphic Design Intern,"['Internship & Trainee Programs', 'Creative & Design']"
1024,Live Streaming Operations Intern,"['Internship & Trainee Programs', 'Marketing', 'Creative & Design', 'Operations Management']"
1025,ACCOUNT OFFICER,"['Sales', 'Account Management', 'Finance']"
1026,"Female Personal Trainer - Uluwatu, Bali","['Healthcare & Medical', 'Education & Training', 'Sales']"
1027,DISPATCHER (PALU),"['Supply Chain & Logistics', 'Operations Management']"
1028,Female Personal Trainer (Bali),"['Healthcare & Medical', 'Education & Training', 'Sales']"
1029,Maintenance Staff - (Jogja & Solo),"['Skilled Trades & Technician']"
1030,Sales - Fitness Consultant (Kab. Bogor),"['Sales', 'Healthcare & Medical', 'Consulting']"
1031,Sales - Fitness Consultant (Kuningan),"['Sales', 'Healthcare & Medical', 'Consulting']"
1032,Fitness Consultant - Sales (Batam),"['Sales', 'Healthcare & Medical', 'Consulting']"
1033,Fitness Consultant - Sales (Palembang),"['Sales', 'Healthcare & Medical', 'Consulting']"
1034,Fitness Consultant - Jakarta Timur,"['Sales', 'Healthcare & Medical', 'Consulting']"
1035,Fitness Consultant - Sales (Semarang),"['Sales', 'Healthcare & Medical', 'Consulting']"
1036,Talent Acquisition & Data Analytics Intern,"['Internship & Trainee Programs', 'Recruitment', 'Data Science & Analytics']"
1037,HR Supervisor (Pekalongan Placement),"['Human Resources', 'Management & Leadership']"
1038,Program Permagangan Sales Motoris - Wilayah Sukabumi,"['Internship & Trainee Programs', 'Sales']"
1039,Warehouse Foreman,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1040,IT Data Platform Internship,"['Internship & Trainee Programs', 'Data Science & Analytics', 'IT Operations & Support']"
1041,Fleet Account Manager,"['Account Management', 'Sales', 'Supply Chain & Logistics']"
1042,Digital Sales Intern,"['Internship & Trainee Programs', 'Sales', 'Marketing']"
1043,Remedial Officer - Jawa Tengah,"['Finance', 'Legal & Compliance', 'Customer Service & Support']"
1044,Female Personal Trainer (Yogyakarta),"['Healthcare & Medical', 'Education & Training', 'Sales']"
1045,Sales - Fitness Consultant (Lampung),"['Sales', 'Healthcare & Medical', 'Consulting']"
1046,"Female Personal Trainer - Setiabudi, Semarang","['Healthcare & Medical', 'Education & Training', 'Sales']"
1047,Housekeeping - Balikpapan,"['Hospitality & F&B', 'Skilled Trades & Technician']"
1048,Housekeeping - Yogyakarta,"['Hospitality & F&B', 'Skilled Trades & Technician']"
1049,Fitness Consultant - Sales (Cikarang),"['Sales', 'Healthcare & Medical', 'Consulting']"
1050,Female Personal Trainer - Pluit,"['Healthcare & Medical', 'Education & Training', 'Sales']"
1051,Business Process & Improvement Lead,"['Operations Management', 'Business Analysis', 'Management & Leadership']"
1052,Supply & Operations Planning Kitchen Supervisor,"['Supply Chain & Logistics', 'Operations Management', 'Hospitality & F&B', 'Management & Leadership']"
1053,Quality Excellence Manager (Non-IT Position),"['Quality Assurance (Non-Software)', 'Operations Management', 'Management & Leadership']"
1054,Senior Lead Dry Warehouse,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1055,QC Officer,"['Quality Assurance (Non-Software)']"
1056,Frozen Warehouse Outbound Supervisor (Srengseng),"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1057,Maintenance Manager (SJA Semarang),"['Skilled Trades & Technician', 'Management & Leadership']"
1058,Packaging Maintenance Supervisor (SJA Semarang),"['Skilled Trades & Technician', 'Production & Manufacturing', 'Management & Leadership']"
1059,IT Programmer,"['Software Engineering']"
1060,"Technician (Utility, GE, & ASRS) (SJA Semarang)","['Skilled Trades & Technician', 'Engineering (non-software)', 'Warehouse Management']"
1061,Freelance Account Payable,"['Accounting']"
1062,HSE Associate (Warehouse),"['Health, Safety & Environment (HSE)', 'Warehouse Management']"
1063,Application Development Section Head,"['Software Engineering', 'Management & Leadership']"
1064,Warehouse Outbound Senior Supervisor (Kosambi),"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1065,Medical Representative Bekasi,"['Sales', 'Healthcare & Medical']"
1066,Application Development Department Head,"['Software Engineering', 'Management & Leadership']"
1067,Bancassurance Life Consultant (Jawa Timur),"['Sales', 'Finance', 'Consulting']"
1068,Pharmacognosy & Extraction Junior Research Assistant,"['Research & Development', 'Healthcare & Medical', 'Skilled Trades & Technician']"
1069,Medical Representative - Malang,"['Sales', 'Healthcare & Medical']"
1070,Sales Officer Malang,"['Sales']"
1071,IT Quality Assurance Analyst,"['Quality Assurance (Software)']"
1072,IT Security Analyst,"['Cybersecurity']"
1073,Medical Representative Sukabumi,"['Sales', 'Healthcare & Medical']"
1074,Furniture 3D Designer Intern,"['Internship & Trainee Programs', 'Creative & Design']"
1075,Graphic Design Intern,"['Internship & Trainee Programs', 'Creative & Design']"
1076,IT Auditor,"['Audit', 'IT Operations & Support', 'Cybersecurity']"
1077,Sales Officer Jakarta,"['Sales']"
1078,Operator Forklift,"['Warehouse Management', 'Skilled Trades & Technician']"
1079,Warehouse - Supervisor Area Distribution (SAD) - Bekasi,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1080,Kinto Sales Head,"['Sales', 'Finance', 'Management & Leadership']"
1081,Warehouse - Distribution Coordinator (DC) - Bogor,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1082,Sales Officer Pontianak,"['Sales']"
1083,Warehouse - Distribution Assistant (DA) - Karawang,"['Warehouse Management', 'Supply Chain & Logistics']"
1084,Associate Product Development (F&B),"['Product Management', 'Research & Development', 'Hospitality & F&B']"
1085,Warehouse - Distribution Coordiantor (DC) - Tangerang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1086,Warehouse Distribution Assistant (DA) - ASSA Cianjur,"['Warehouse Management', 'Supply Chain & Logistics']"
1087,Warehouse - Supervisor Area Distribution (SAD) - Sidoarjo,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1088,Warehouse  -  Distribution Coordiantor (DC)  -  Padang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1089,Warehouse - Supervisor Area Distribution (SAD) - Cikarang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1090,Quality Assurance (QA) ASSA - Palembang,"['Quality Assurance (Non-Software)', 'Supply Chain & Logistics']"
1091,Warehouse  -  Distribution Coordiantor (DC)  -  Medan,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1092,Warehouse  -  Supervisor Area Distribution (SAD)  -  PALEMBANG,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1093,Warehouse - Supervisor Area Distribution (SAD) - Pekanbaru,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1094,Warehouse – Distribution Coordiantor (DC) - Pematang Siantar,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1095,Warehouse - Distribution Coordinator (DC) - Depok,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1096,Warehouse - Distribution Assistant (DA) - Pekanbaru,"['Warehouse Management', 'Supply Chain & Logistics']"
1097,Warehouse - Distribution Coordinator (DC) - Cikarang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1098,Warehouse - Distribution Coordinator (DC) - \tSidoarjo,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1099,Distribution Assistant (DA) - ASSA Depok,"['Warehouse Management', 'Supply Chain & Logistics']"
1100,Warehouse - Quality Assurance (QA) - \tSukabumi,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
1101,Warehouse - Quality Assurance (QA) - Lampung,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
1102,Warehouse - Quality Assurance (QA) - Bandung,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
1103,Warehouse - Supervisor Area Distribution (SAD) - Balikpapan,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1104,Warehouse - Distribution Coordinator (DC) - \tSemarang,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1105,Dispatcher - ASSA Ternate,"['Supply Chain & Logistics', 'Operations Management']"
1106,Staging Store Leader (Balikpapan),"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1107,Warehouse - Distribution Assistant (DA) - Jambi,"['Warehouse Management', 'Supply Chain & Logistics']"
1108,Distribution Assistant (DA) ASSA Banjarmasin,"['Warehouse Management', 'Supply Chain & Logistics']"
1109,Warehouse - Quality Assurance (QA) - Cikarang,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
1110,DISPATCHER (TRANSPORT PLANNER) - LAHAT,"['Supply Chain & Logistics', 'Operations Management']"
1111,DISPATCHER ASSA - INDRAMAYU,"['Supply Chain & Logistics', 'Operations Management']"
1112,Warehouse Distribution Assistant (DA) - ASSA Palembang,"['Warehouse Management', 'Supply Chain & Logistics']"
1113,Warehouse - Supervisor Area Distribution (SAD) - Makassar,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1114,Warehouse - Distribution Coordiantor (DC) - Yogyakarta,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1115,Warehouse - Quality Assurance (QA) - Gresik,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
1116,Warehouse - Supervisor Area Distribution (SAD) - Lhokseumawe,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1117,DISPATCHER ASSA - BANYUWANGI,"['Supply Chain & Logistics', 'Operations Management']"
1118,Warehouse - Distribution Assistant (DA) - \tSintang,"['Warehouse Management', 'Supply Chain & Logistics']"
1119,Warehouse - Supervisor Area Distribution (SAD) - Lampung,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
1120,Warehouse - Distribution Assistant (DA) - Pematang Siantar,"['Warehouse Management', 'Supply Chain & Logistics']"
1121,Demand Planning Associate,"['Supply Chain & Logistics']"
1122,Dispatcher - ASSA Palembang,"['Supply Chain & Logistics', 'Operations Management']"
1123,Warehouse - Quality Assurance (QA) - Depok,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
