,job_desc_list,job_qualification_list
676,[':'],"['Diutamakan bagi lulusan perguruan tinggi minimum Diploma 3 dari Medical, Farmasi, Biologi atau lainnya', 'Berpengalaman dengan produk-produk di kategori / area yang bersangkutan', 'Memiliki pemahaman dan pengalaman terkait Product Knowledge, Basic Sales and Marketing, Basic Pharmacy knowledge', 'Bersedia untuk ditempatkan di masing-masing area yang dibutuhkan']"
677,"[""Track and manage brands' monthly sales performance and develop action plans with trade and sales team to achieve sales target/budget."", ""Achieve balanced brands' growth in SKU level."", 'Marketing campaign and customer engagement plan and management.', 'Brand performance analysis and understanding customer & Market insight.', 'A&P budget management.', 'Manage demand of the brands and minimize write-off and OOS.', 'Need to mobilize project members cross-functionally when managing projects.', ""Responsible for making key decisions related to the brands based on Head of Marketing's input and approval.""]","['Require at least 3-5 years of experience as brand manager or similar in ethical or OTC marketing within a renowned pharmaceutical industry.', 'University degree or above (major in business or marketing related subject is desirable)', 'Experience of a new product launch is an advantage.', 'Brand/Product management experience with Ethical medicine will be a big plus.', 'Project management experience with regional and international HQ is a plus.', 'Experience of managing external agencies.', 'Strong verbal & written communication in English.', 'MUST be comfortable with English verbal presentations and documentation in English.', 'Strong communication skills.']"
678,"['PT Leon Boga Sentosa sedang mencari\xa0', '\xa0yang berdedikasi untuk memimpin peluncuran produk baru.\xa0', '\xa0akan bertanggung jawab untuk merancang dan menerapkan strategi pemasaran yang inovatif guna memperkenalkan produk baru ke pasar.\xa0']","[""Bachelor's degree in Marketing, Business, or a related field."", 'Minimum of 5 years of experience in brand management, ideally within the snack Baby or Food industry.', 'Proven experience with digital marketing and brand activation, including both ATL and BTL marketing.', 'Comfortable in a startup-like, fast-paced environment, with strong agility and adaptability.', 'Excellent communication and project management skills, with a keen eye for detail and a passion for brand storytelling.', 'Experience in managing multi-channel marketing campaigns (online and offline)']"
679,"['Melakukan aktivitas penjualan dengan memberikan informasi produk yang baik dan benar, sebagai bagian dari strategi penjualan', 'Melakukan customer visit sesuai dengan jadwal yang telah direncanakan', 'Bertanggung jawab atas target NOO (new open outlet) yang telah di tetapkan oleh perusahaan', 'Menjaga hubungan baik dengan customer dan calon customer, menjaga dan memastikan tercapainya kepuasan pelanggan']","['Pengalaman sebagai Sales', 'Pendidikan min SMA', 'Berorientasi kepada target dan service', 'Mampu membangun network & menjaga hubungan baik dengan customer', 'Mampu bekerja secara individu & team', 'Komunikatif, jujur dan disiplin', 'Lebih disukai berpengalaman sebagai Sales segmen HoReCa & atau Toko bahan kue', 'Penempatan area Samarinda dan sekitarnya']"
680,"['Meeting with management, engineering, product, R&D team, and other related stakeholders to discuss technology, tools, or other developments that can be benefitable for company needs and problems.', 'Participate in the development of NodeJS/Typescript architecture and infrastructure for omnichannel platform (integration from marketplace/ecommerce, accounting, selling, purchasing, and warehouse system).', 'Responsible for the design and implementation of back-end related architecture to ensure the stable and reliable operation of business services.', 'Responsible for technical research and introduction of new technologies to solve the problems of high performance, high concurrency and high reliability services.', 'Responsible to supporting superior in managing current teams backlog, timeline and resources, and handling collaboration or expectation that related with other teams and departments to ensure completion of overall R&D teams goal and projects.', 'Maintain development and implementation of company existing apps.', ""Creates and develops documentation related to the department's work process; as well as Implement / recommending needed process and procedure to ensure efficiency and delivery of R&D teams."", 'Conduct continuous research to stay up-to-date on current industry trends and emerging technologies.', 'Provide technical support and insight regarding tools or technology to other teams and departments as needed.']","['More than 3-4 years of development experience, bachelor degree or above, computer and related majors are preferred. Previous experience from ecommerce or ERP company is an huge advantage.', 'Previous experience of leading teams is an advantage.', 'Previous experience of handling project or backlog management is a must', 'Proficient in NodeJS, Javascript, Typescript and PostgreSQL databases.', 'Proficient in Object-Oriented/Functional Programming, REST API, and Design Patterns.', 'Have experience in API Integration & Restful API development and documentation.', 'Have a certain understanding of the architectural design principles of distributed computing and distributed data storage.', 'Have experience with Continuous Integration and Continuous Delivery(CI/CD) pipeline is a big plus.', 'Have experience in Kubernetes, Azure, AWS, and RabbitMQ is a big plus.', 'Possesed excellent English communication and problem solving skills.']"
681,"['Digital media social savvy dan update terhadap trend atau issue di dunia sosial media', 'Memiliki keterampilan dalam copywriting dan komunikasi baik lisan ataupun tulisan, kreatif dan percaya diri', 'Memiliki minat yang tinggi di “industri kecantikan”', 'Memiliki minat yang tinggi untuk membuat konten video secara end to end']","['Lulusan minimal D3', 'Mahasiswa akhir dipersilahkan mendaftar', 'Berpengalaman sebagai konten kreator']"
682,"['Own the GMV, P&L, AOV, and other related metrics for entire categories', 'Develop a thorough understanding of various categories – and deep-dive into customer needs, market trends, suppliers & brands, and be on top of trends that shape the category/product vertical', 'Lead, plan and execute category launches seamlessly by working cross-functionally with Supply team, Merchandising team, Campaign team', 'Analyse various data (sales data, inventory) in order to curate the right product selection on our app/webpage', 'Continue to improve the performance of that particular category and ensure that all the right steps are being taken to make it grow, including improving sourcing, pricing, marketing campaigns, targeting etc', 'Lead category expansion and continuously discover new and untapped categories to launch', 'Seek continuous feedback from consumers in order to tailor category in accordance to market requirements', 'PnL responsibility']","['8-12 years of prior category management, or similar in a leadership position', 'Prior experience handling PnL', 'Experience in a high-growth startup, preferably e-commerce', 'Ability to see things through from beginning to end in a fast paced work environment']"
683,"['The Business Development associate will be responsible for day-to-day tasks such as researching market trends and customer preferences, lead generation, and developing and maintaining customer relationships. The position will require the ability to work independently and collaboratively with a team to achieve sales targets and generate new business leads.']","['Analytical Skills: ability to analyze and interpret market data and financial reports', 'Communication: excellent written and verbal communication skills to effectively communicate with clients and team members', 'Lead Generation: proven track record of generating leads and identifying new business opportunities', 'Market Research: experience in conducting market research to identify customer preferences and competitor analysis', 'Customer Service: experience in providing exceptional customer service to clients and addressing customer needs', ""Bachelor's degree in Business Administration, Marketing, or related field"", 'Experience in the Food and Beverage industry is a plus', 'Ability to work independently and collaboratively in a team environment', 'Strong organizational and time management skills']"
684,"['Bekerja sama dengan tim produksi untuk membuat dan menjaga jadwal produksi.', 'Memantau persediaan inventaris dan memastikan pengisian bahan baku yang tepat waktu.', 'Menganalisis data produksi untuk mencari area yang bisa diperbaiki dan cara untuk meningkatkan efisiensi.', 'Bekerja sama dengan departemen pembelian untuk memastikan pengiriman bahan tepat waktu.', 'Berpartisipasi dalam rapat antar departemen untuk membahas perencanaan dan penjadwalan produksi.', 'Membantu membuat perkiraan produksi dan merencanakan kapasitas yang diperlukan untuk memenuhi permintaan.', 'Memberikan dukungan untuk terus meningkatkan proses produksi dan mengurangi biaya.']","['Laki-Laki dibawah 30 Tahun', 'Sarjana Teknik Industri, Manajemen, atau bidang terkait', 'Min. 1 tahun pengalaman di bidang terkait (Kandidat dengan pengalaman bekerja dalam industri seperti manukfatur lebih diutamakan).', 'Memiliki kemampuan komunikasi dan interpersonal yang baik.\xa0', 'Keterampilan analitis yang kuat.\xa0', 'Kemampuan untuk bekerja di bawah tekanan dan sebagai bagian dari tim.\xa0', 'Kemandirian, disiplin, serta kerja keras.\xa0', 'Diutamakan kandidat yang memiliki kemampuan berbahasa Indonesia dan Inggris.\xa0', 'Siap untuk bekerja secara mobile jika diperlukan.']"
685,"['Bertanggung jawab untuk memimpin, mengelola, dan memotivasi tim penjualan untuk mencapau target bulanan dan tahunan', 'Membina hubungan baik dengan pelanggan serta bekerjasama dengan pihak-pihak terkait dalam merancang dan melaksanakan strategi penjualan untuk meningkatkan pangsa pasar', 'Berkoordinasi dengan pihak terkait untuk memastikan kelancaran suppy produk']","['Pendidikan minimal D3 semua jurusan', 'Memiliki pengalaman salesman di bidang yang sama khususnya penjualan di sektor farmasi atau kesehatan', 'Berorientasi pada hasil dengan kemampuan bekerjasama dengan berbagai pihak', 'Memiliki komunikasi yang baik', 'Kuat dalam analisis data penjualan dan strategi pemasaran', 'Penempatan untuk wilayah Banyuwangi (Cabang Surabaya)']"
686,"['As a Content Writer, you will be responsible for proofreading, typography, and drafting scripts based on existing learning materials. You will also be in charge of writing transcripts for e-learning videos that will be published. This role requires systematic and creative writing skills, along with the ability to convey information in a way that is easily understood by the audience.']","['Minimum 1 year of experience as a Module Writer, Script Writer, or Content Writer, preferably in the education or e-learning field.', 'Ability to write in an engaging, systematic style that aligns with digital learning principles.', 'Proficient in storytelling, instructional design, and drafting educational video scripts.', 'Experience conducting thorough research to ensure the accuracy of information.', 'Basic understanding of e-learning principles and digital content delivery methods.', 'Ability to simplify complex information into concise, clear, and easy-to-understand writing.', 'Proficient in Google Docs, Microsoft Word, and other writing tools.', 'Detail-oriented, able to work in a fast-paced environment, and open to feedback.', 'A relevant writing portfolio (required when applying).']"
687,"['Conduct market research to analyze pricing trends and competitor pricing strategies.', 'Develop and implement pricing strategies to optimize revenue and profitability for ', 'and other businesses under ', ' and ', '.', 'Monitor and adjust pricing based on market demand, competitor activity, and customer feedback.', 'Collaborate with marketing and operations teams to create promotional offers and pricing campaigns.', 'Build and maintain pricing models and tools to evaluate different pricing scenarios.', 'Prepare detailed reports on pricing performance, including revenue analysis and forecasting.', 'Identify opportunities for price optimization across multiple business units, including TopUpNoLimit and other businesses.', 'Support the business development team with pricing strategies for new markets or products.']","[""Bachelor's degree in Business, Finance, Economics, or a related field."", 'At least 3 years of experience as a Pricing Analyst, Data Analyst, or in a similar role.', 'Strong analytical skills with the ability to interpret large datasets.', 'Proficiency in data analysis tools like Microsoft Excel, Google Sheets, and data visualization platforms (e.g., Tableau, Power BI).', 'Knowledge of pricing models and revenue forecasting techniques.', 'Familiarity with e-commerce, gaming, or digital service industries is a plus.', 'Excellent problem-solving, organizational, and time-management skills.', 'Strong communication skills to present data-driven insights and recommendations.', 'Ability to work both independently and collaboratively in a fast-paced environment.']"
688,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']"
689,"['As a ', ', you will be responsible for creating engaging content and managing social media accounts. Your duties include developing storylines, writing VO scripts, creating visual concepts, and crafting captions that align with the brand identity. You will also ensure content is scheduled properly, monitor performance, and compile insight reports for the relevant teams.']","[""Minimum of a Bachelor's degree in Communications, Marketing, Graphic Design, or a related field."", 'At least 3 year of experience in social media and creative content.', 'Social media account management (Instagram, TikTok, Facebook, Twitter, YouTube, etc.).', 'Proficient in ', ' with strong written and verbal communication skills. ', ' language skills are a plus.', 'Strong skills in writing copy and captions that align with the brand.', 'Proficient in using social media management tools (such as Hootsuite, Buffer, etc.) and analytics tools (Google Analytics, Facebook Insights, etc.).', 'A solid understanding of social media strategies and engagement optimization.', 'Creative, innovative, attention to detail, and able to work with tight deadlines.', 'Ability to collaborate effectively with both internal and external teams.', 'Graphic design or video editing skills', 'Knowledge of SEO as it relates to social media.', 'Understanding of the marketing funnel and its application.']"
690,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']"
691,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']"
692,"['#BeOneofOurFaces!', 'Joining FACETOLOGY means becoming part of a dynamic beauty brand. We are a human-centric environment, driven by the purpose of enhancing quality of life through our products.', 'As an ', ' you will:']","['Minimum of 3-5 years of sales experience with proven track record in managing sales teams, preferably in FMCG or Beauty Industry', 'Has a Great Communication and Negotiation Skills', 'Able to work with laptop, esp. using Ms.Excel, Word, PPT', 'Deep knowledge of the assigned market and existing relationship with local distributor and retailers', 'Having strong database both GT and MT category', 'Willing to travel outside the area as needed', 'Able to work underpressure and achieve Monthly Sales Target']"
693,"[':\xa0Merancang strategi promosi yang efektif, termasuk pemilihan saluran komunikasi, pesan kunci, dan taktik promosi\xa0', ':\xa0Mengeksekusi kampanye promosi yang telah direncanakan, seperti distribusi brosur, penyelenggaraan event, dan demonstrasi produk\xa0', ':\xa0Menjelaskan fitur dan manfaat produk kepada calon pelanggan\xa0', ':\xa0Membangun dan memelihara hubungan baik dengan pelanggan, termasuk menanggapi pertanyaan, menangani keluhan, dan memberikan layanan purna jual\xa0', ':\xa0Memantau tren pasar dan aktivitas kompetitor untuk menyesuaikan strategi promosi\xa0', ':\xa0Membuat laporan hasil promosi dan mengevaluasi keberhasilan kampanye\xa0', ':\xa0Memenuhi target harian dan menyerahkan laporan penjualan\xa0']","['Pria dan wanita', 'Usia maks. 30 th', 'Pendidikan SMK/SMA', 'Goodlooking', 'pengalaman sales']"
694,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']"
695,"['1. Answering telephone and e-mail in accordance with existing SLAs.', '2. Always improve knowledge, the ability to help customers with questions about the product.', '3. Serve and/or respond and provide solutions to technical questions from customers.', '4. Provide information about products and features.', '5. Record, deliver, handle problems and make problem solving reports.', '6. Ensure features / products are running as they should from each customer.', '7. Analyze problems and provide input on product improvement.', '8. Record and report on system errors.', '9. Ensure features / products are running well before being released to customers.', '10. Carry out a deployment process with the Developer team.', '11. Based on the testing carried out, inventory and analyze the report on the problem that occured.', '12. Providing training to customers & providing friendly, fast and efficient services.']","['1. Education level: Diploma/Bachelor degree or above in Computer Science, Software Engineering, Electric and Electronics, other related discipline.', '2. Languages: Must have good written and oral English language skills.', '3. Experience min 1 year in IT or Travel Industry.', '4. Passionate in software configuration or testing.', '5. High grade of engagement and motivation.', '6. Ability to work in a fast-paced environment, recognize and react to changing business needs and effectively prioritize tasks.', '7. Ability to meet deadlines, identify issues and resolve with minimal direction.', '8. Must be self-motivated, willing to learn and able to work both independently and in conjunction with team members and product groups.', '9. Enthusiasm and flexibility to work on a variety of projects are necessary, as well as the ability to rapidly acquire new domain familiarity.', '10. Customer-oriented.']"
696,"['Membangun dan mengembangkan aplikasi mobile internal maupun eksternal (customer/driver apps) berbasis Android dan iOS.', 'Menyesuaikan kebutuhan user logistik dalam aplikasi mobile (tracking, booking, delivery, dll).', 'Melakukan maintenance dan update berkala untuk memastikan aplikasi berjalan stabil, aman, dan bebas bug.', 'Menyelesaikan error atau issue yang muncul dari pengguna atau hasil testing internal.', 'Mengintegrasikan aplikasi mobile dengan sistem internal perusahaan seperti ERP, WMS, TMS, atau modul Odoo.', 'Bekerja sama dengan tim backend/API untuk memastikan konektivitas yang optimal.', 'Menerjemahkan desain UI/UX menjadi aplikasi mobile yang fungsional dan responsif.', 'Berkolaborasi dengan tim desain untuk menyempurnakan user journey.', 'Melakukan unit testing, debugging, dan troubleshooting aplikasi mobile sebelum live.', 'Menggunakan tools seperti Firebase, Postman, atau tools crash reporting untuk kontrol kualitas.', 'Menyusun dokumentasi teknis untuk pengembangan dan pemeliharaan aplikasi.', 'Memastikan penggunaan best practice coding dan dokumentasi yang rapi.', 'Berinteraksi dengan user (internal maupun eksternal) untuk mengumpulkan feedback dan kebutuhan fitur baru.', 'Bekerja lintas fungsi dengan developer backend, sistem analis, dan UI/UX designer.', 'Mengikuti tren teknologi mobile terbaru dan menerapkannya jika relevan dengan kebutuhan perusahaan.']","['Minimal ', '.', 'Pengalaman ', ' dalam pengembangan aplikasi mobile (Android/iOS).', 'Pernah mengembangkan aplikasi logistik menjadi nilai tambah.', 'Menguasai ', ', ', ', atau native development (', ').', 'Mengerti tentang RESTful API, JSON, Git, Firebase, SQLite, dll.', 'Familiar dengan tools CI/CD dan version control (GitLab, GitHub).', 'Pengalaman integrasi dengan ', '.', 'Memiliki portofolio aplikasi yang sudah publish di Play Store/App Store.', 'Pengalaman kerja dalam pengembangan aplikasi untuk kebutuhan logistik/transportasi.', 'Detail-oriented, teliti dalam menulis dan membaca kode.', 'Mampu bekerja secara tim maupun mandiri.', 'Cepat beradaptasi terhadap perubahan kebutuhan pengguna.']"
697,"['Melakukan mapping dan canvassing kepada target market perusahaan (toko kelontong, toko sembako, konter pulsa, dll)', 'Melakukan reporting kepada atasan', 'Menjaga hubungan baik dengan agen']","['Memiliki pengalaman sales canvasser (FMCG, telko, PPOB, dll)', 'Komunikatif']"
698,"['Mengumpulkan dan menganalisis data penjualan, produksi, dan riwayat penjualan', 'Melakukan wawancara dengan karyawan dan manajer', 'Mengidentifikasi dan memecahkan masalah', 'Mencari tahu apa yang penting bagi masalah dan metode terbaik untuk menganalisisnya', 'Menggunakan metode statistik untuk menganalisis informasi', 'Memberikan rekomendasi untuk perubahan operasional', 'Menulis laporan dan memo untuk manajemen', 'Membantu menciptakan solusi dan menyederhanakan sistem bisnis', 'Bekerja sama dengan tim operasi, teknisi, dan manajemen']","['Pria', 'Usia maks. 35 thn', 'Pendidikan S1 segala jurusan', 'Berpengalaman di dunia FnB menggunakan ESB', 'Memiliki kemampuan analisa data dan lapangan', 'Menguasai dan familiar dengan aplikasi backend & Ms. excel', 'Memiliki kemampuan komunikasi yang baik', 'Domisili Jogja']"
699,"[':\xa0Memimpin tim dalam mencapai tujuan yang telah ditetapkan', ':\xa0Mengkoordinir seluruh aktivitas tim, termasuk membina kerja sama tim yang solid', ':\xa0Membimbing anggota tim dalam menyelesaikan proyek', ':\xa0Mengembangkan keterampilan anggota tim', ':\xa0Memonitor dan mengevaluasi kinerja tim', ':\xa0Mengembangkan dan menerapkan jadwal yang akan digunakan tim untuk mencapai tujuan akhir', ':\xa0Memberikan instruksi yang jelas kepada semua anggota tim dalam melaksanakan tugas-tugas yang harus dijalankan', ':\xa0Melaporkan kinerja tim kepada atasan', ':\xa0Mengusulkan saran kepada atasan', ':\xa0Menginformasikan kendala yang ditemukan kepada atasan']","['Pria / Wanita', 'SMK/SMA', 'Memiliki Pengalam TL', 'Penempatan Balaraja, Cikupa & Tigaraksa ( Tangarang Kab )']"
700,['CONTAC PERSON : 082366626968 (WA ONLY)'],"['DIBUTUHKAN SALES/PROMOTOR PROVIDER DOMISILI :', 'MEDAN / BINJAI / KARO / PAKAM / MARELAN / TEBING TINGGI / SIANTAR / RANTAU PARAPAT / KISARAN', '#KRITERIA :', 'PRIA-WANITA MAX 28 TAHUN', 'PENDIDIKAN MINIMAL SMA', 'MEMILIKI BASIC SALES/PROMOTOR', 'DIUTAMAKAN MEMILIKI KENDARAAN PRIBADI', '#BENEFIT : ', 'GAJI POKOK 1 BULAN', 'THR 1 BULAN GAJI', 'TUNJANGAN TRANSPORT', 'TUNJANGAN JABATAN', 'INSENTIF UP TO 5JT', 'BPJS TK & KES', 'JENJANG KARIR']"
701,"['Melakukan Promosi, edukasi, memasarkan & menjual product smartfren direct (End User) secara mobile di lapangan (SDS)/Outlet (SGS)', 'Membuat laporan penjualan', 'Meningkatkan aktivasi pelanggan baru dan menjaga palanggan lama', 'Memenuhi target penjualan', 'Bersedia kerja weekend']","['Pria/Wanita', 'Pendidikan minimal SMA/SMK', 'Mengerti memahami perkembangan teknologi dan gadget', 'Berpenampilan menarik, super, dan komunikatif', 'Siap bekerja di lapangan', 'Mampu bekerja dengan target', 'Memiliki HP Android dan kendaraan pribadi/motor']"
702,"['Memimpin tim sales untuk mencapai dan melebihi target penjualan mingguan, bulanan, dan tahunan.', 'Menganalisis dan mengembangkan strategi pemasaran serta ekspansi wilayah penjualan.', 'Membimbing, melatih, dan memberikan motivasi kepada anggota tim sales untuk meningkatkan kinerja.', 'Mengawasi proses penjualan, termasuk presentasi produk, negosiasi, dan penutupan transaksi.', 'Menjalin dan menjaga hubungan baik dengan pelanggan serta mengidentifikasi peluang bisnis baru.', 'Mengkoordinasikan dan memastikan pemenuhan pesanan pelanggan secara efisien.', 'Mewakili perusahaan dalam pameran dagang dan acara industri untuk meningkatkan visibilitas merek.', 'Menyusun laporan penjualan dan memberikan analisis berkala kepada manajemen terkait pencapaian tim.', 'Berkontribusi dalam pengembangan strategi harga dan inisiatif pemasaran bersama manajemen.']","['Laki-Laki & Perempuan Usia Max. 40Th', 'Pendidikan Min. SMA/K', 'Terbiasa dengan Target', 'Memiliki kemampuan komunikasi yang baik', 'CV,KTP,SERTIFIKAT VAKSIN COVID 19, Memiliki kendaraan bermotor untuk bekerja']"
703,"['Melakukan koordinasi lingkungan di sekitar area gedung', 'Mengatur vendor security, vendor cleaning service', 'Mengurus perizinan', 'Memastikan K3 dijalani oleh setiap Tenaga Kerja', 'Berkoordinasi dengan karyawan di bawahnya serta berkoordinasi dengan pimpinan']","['- Laki - laki, usia maks. 40 tahun', '- Pendidikan Min. D3.', '- Pengalaman min. 2 tahun sebagai GA Coordinator dalam industri property ( Apartemen/ Office Tower )', '- Aktif, memiliki integritas dan bertanggung jawab', '- Memiliki kemampuan : Komputer ( Ms. office ), Bernegosiasi, Kepemimpinan, Teliti, komunikasi yang baik under to top Management', '- Excellent Communication skill and interpersonal skill.', '- Memahami Aturan dan perundang - undangan terkait']"
704,"['Job Description:\xa0', 'Intermediate understanding in:\xa0']","['Advanced proficiency in Golang and JavaScript, including the use of their common libraries and frameworks such as:\xa0', 'JavaScript Frameworks: SolidJS, React, Vue, Angular\xa0', 'Database Models: both Relational Databases (RDBMS) and NoSQL\xa0', 'Caching Systems: Redis, Memcached\xa0', 'Message Queueing Systems: MQ, NATS, Kafka\xa0', 'Intermediate ability to:\xa0', 'Analyze and break down user stories into technical requirements and designs\xa0', 'Communicate and coordinate effectively within a team setting\xa0', 'Take initiative in projects and tasks\xa0', 'Basic understanding of:\xa0', 'Technical debt and the process of defining and maintaining a technical roadmap\xa0']"
705,"['Memasarkan produk WIFI dari CBN fiber', 'Mengedukasi pengguna WIFI tentang layanan internet CBN', 'Memberikan pelayanan terbaik bagi pengguna layanan WIFI CBN']","['Pendidikan min SMK/SMA sederajat', 'Pengalaman sales internet provider', 'Memiliki kendaraan roda dua', 'Bersedia kerja dengan sistem target']"
706,"['Assist the Operations team in identifying and reaching out to potential clients.', 'Support daily sales operations, including data entry, order processing, and follow-ups.', 'Maintain and update customer databases.', 'Paid Internship', 'Cultural Benefits', 'Class Or Workshops', 'Certificate Of Completion']","['Final year student or recent graduate.', 'Having a strong confident and outgoing personality.', 'Eager to learn and work with various departments in the company.', 'Monday To Friday 10.00 - 18.00', '4x WFO, 1x WFH\xa0', '3 Months Internship', 'Alam Sutera, Serpong, Tangerang Selatan']"
707,"['Bertanggungjawab terhadap kelancaran praktikum dan proyek serta pengaturan aktivitas di laboratorium pengolahan pangan', 'Inventarisasi, pengecekan, perawatan dan perbaikan mesin dan peralatan di laboratorium pengolahan', 'Mengerjakan kegiatan administrasi yang berkaitan dengan pengelolaan laboratorium pengolahan Informasi Tambahan']","['Usia maksimal 45 tahun\xa0\xa0', 'Pendidikan minimal S1 di bidang Mikrobiologi, Kimia, diutamakan Teknologi Pangan\xa0\xa0', 'Memiliki pengalaman kerja di laboratorium (minimal 1-2 tahun, atau sesuai kebutuhan)\xa0\xa0', 'Memahami dan mampu melakukan teknik dasar laboratorium, seperti:\xa0\xa0', 'Mampu mengoperasikan dan merawat peralatan laboratorium', 'Teliti, bertanggung jawab, dan memiliki keterampilan administrasi dasar untuk pencatatan hasil uji', 'Mampu bekerja secara mandiri maupun dalam tim', 'Memahami protokol keselamatan laboratorium\xa0\xa0', 'Bersedia terlibat dalam kegiatan pengajaran dan penelitian.']"
708,"['Menciptakan hubungan baru dengan pelanggan potensial dan memperluas saluran bisnis;', 'Membangun dan mempertahankan hubungan pelanggan yang kuat dan tahan lama untuk meningkatkan penjualan dan loyalitas mereka;', 'Secara aktif mencari prospek customer baru dan mengidentifikasi peluang untuk mencapai target penjualan dan mengembangkan omset perusahaan;', 'Memiliki kemampuan presentasi yang baik.']","['Pendidikan minimal SMA/Sederajat;', 'Memiliki pengalaman kerja sebagai Sales/Business Development produk IT (Software/Aplikasi/Konsultan IT);', 'Memiliki kemampuan komunikasi dan interpersonal yang baik, punya passion dalam bidang sales;', 'Memiliki kemampuan belajar cepat secara mandiri;', 'Terbiasa bekerja di lapangan dan memiliki kendaraan motor;', 'Bersedia JOIN secepatnya jika dinyatakan LOLOS seleksi.']"
709,"['Bertanggung jawab terhadap penjualan unit mobil di dealer', 'membangun relasi dengan customer', 'Memiliki motivasi yg tinggi untuk meraih target penjualan yang telah di tetapkan', 'Pekerja keras dan berorientasi pada target', 'Menciptakan creativitas dan inovatif', 'Memahami dunia digital marketing dan sosial media : IG, FB, Tiktok, dll']","['Pendidikan min SMA/SMK sederajat', 'Memiliki pengalaman sebagai sales / marketing produk minimal 1 tahun', 'Mampu bekerja dengan target dan tekanan', 'Komunikatif, energik, memiliki relasi yang luas', 'Memiliki selling skill, tough, dan disiplin', 'Penempatan Dealer Wuling - Jakarta Selatan']"
710,"['Membuat Laporan Piutang mingguan dan bulanan', 'memeriksa data-data tagihan masuk', 'Membuat faktur pajak', 'Membuat laporan analisis keuangan bulanan dan tahunan', 'Memantau kepatuhan terhadap pengoptimalan pajak dan standar pelaporan keuangan.', 'Membuat peramalan dan pengelolaan arus kas untuk memastikan likuiditas yang memadai.']","['Pendidkan min S1 jurusan Akutansi', 'Memiliki pengalaman Finance, accounting dan pajak', 'Menguasai jurnal akutansi dan laporan akutansi', 'Terbiasa membuat laporan keuangan', 'Menguasai software (Jurnal, Oracle, SAP, Microsoft Dynamic, Microsoft Excel)', 'Memiliki akurasi tinggi dan kemampuan berhitung yang baik', 'Bertanggung jawab, jujur, dan teliti']"
711,['Benefits:'],"['Min SMK jurusan teknik atau gambar bangunan', 'Pengalaman min 1 tahun', 'Bisa menaik motor dan memiliki sim A/C', 'Bisa menggunakan aplikasi excel, sketchup, autocad']"
712,"[""Ensure the company's operations comply with relevant Indonesian regulations and other applicable laws"", 'Stay updated on changes in laws, regulations, and standards affecting financial technology (fintech), lending industries, tech industries and capital market', ""Draft and implement compliance policies and procedures tailored to the company's business models"", 'Prepare and submit accurate and timely regulatory reposts to OJK and other authorities, including the Monthly and Annual compliance reports', 'Act as the liaison between the company and regulatory bodies for audits, inspections, and inquiries.', 'Identify compliance risks related to product development, customer onboarding, and lending practices across B2B, B2B2E , and B2C segments', 'Collaborate with the risk management team to develop a compliance risk assessment framework and implement mitigation measures', 'Conduct compliance training and awareness programs for employees, focusing on AML/CFT, data protection, and ethical lending practices', 'Conduct internal compliance monitoring activities and support audits related to fintech lending operations', 'Ensure adherence to data privacy and cybersecurity regulations under UU PDP, especially in relation to customer data handled via the super-app platform', 'Implement anti-money laundering and counter-terrorism financing (AML/CFT) measures', 'Execute anti-fraud functions and manage anti-gratification practices', 'Oversight of the whistleblowing system', ""Centralized management of the company's standard operating procedures\xa0""]","[""Bachelor's degree in business, law, finance, accounting, or related field. Master's degree or relevant certifications (e.g., Certified Compliance & Ethics Professional (CCEP)) are an advantage"", 'Minimum 3 years of experience in compliance, risk management, auditing, or related field', 'Prior work experience in regulatory bodies or financial sector industry is highly preferred', 'In-depth understanding of relevant laws, regulations, and industry standards pertaining to the Indonesian financial sector (Financial Services Authority (OJK) and IDX)', 'Strong analytical abilities to interpret complex regulations, assess compliance risks, and develop effective strategies for mitigation', 'Excellent verbal and written communication skills to effectively convey compliance requirements, provide guidance, and interact with stakeholders at all levels', 'Meticulous attention to detail to ensure accurate interpretation and implementation of compliance policies and procedures', 'Demonstrated commitment to ethical behaviour and adherence to high standards of integrity in all compliance activities', 'Proven ability to identify compliance issues, analyze root causes, and develop practical solutions to address them effectively', 'Commitment to staying updated on evolving compliance regulations, industry best practices, and professional development opportunities', 'Strong leadership capabilities and ability to collaborate across departments and work with senior management.']"
